OID,param,emissions
7,Milk,7.704164
9,Milk,4.434453
11,Milk,5.722567
12,Milk,4.637341
14,Milk,4.958785
15,Milk,5.369346
17,Milk,6.152336
20,Milk,5.53548
21,Milk,3.972715
22,Milk,1.23913
24,Milk,7.065127
25,Milk,4.039904
26,Milk,1.176063
27,Milk,0.48929
30,Milk,7.366662
31,Milk,6.289173
32,Milk,0.362843
33,Milk,3.151725
34,Milk,0.966152
35,Milk,1.1042
36,Milk,0.529401
39,Milk,6.27051
40,Milk,7.127085
41,Milk,6.791293
42,Milk,0.202971
43,Milk,3.08782
44,Milk,0.219227
49,Milk,5.361999
50,Milk,4.419346
51,Milk,6.646813
52,Milk,0.281273
55,Milk,0.409572
62,Milk,5.129514
63,Milk,2.51885
64,Milk,6.571968
65,Milk,0.232856
66,Milk,0.427152
67,Milk,0.204492
71,Milk,28.509096
79,Milk,0.034032
80,Milk,2.592503
81,Milk,2.529488
82,Milk,6.471626
83,Milk,0.372778
84,Milk,0.427152
85,Milk,0.204492
92,Milk,1.040486
94,Milk,2.155663
95,Milk,1.17609
97,Milk,3.632943
106,Milk,0.034032
107,Milk,2.592503
108,Milk,2.529488
109,Milk,6.471626
110,Milk,0.372778
111,Milk,0.379751
112,Milk,0.257985
118,Milk,1.361979
119,Milk,1.373514
120,Milk,0.969494
124,Milk,2.103824
125,Milk,3.777375
126,Milk,3.970241
129,Milk,16.514835
130,Milk,16.664684
141,Milk,5.411251
142,Milk,6.371159
143,Milk,4.479465
146,Milk,0.295543
147,Milk,0.226334
151,Milk,1.361979
152,Milk,1.373514
153,Milk,0.969494
157,Milk,2.103824
158,Milk,3.777375
159,Milk,3.970241
163,Milk,16.514835
164,Milk,16.664684
173,Milk,0.032962
174,Milk,4.690541
175,Milk,6.502799
176,Milk,0.328094
177,Milk,0.390229
179,Milk,0.258435
180,Milk,0.278666
181,Milk,0.250416
184,Milk,24.640081
185,Milk,1.141577
187,Milk,1.279726
189,Milk,2.522492
191,Milk,4.854369
192,Milk,3.885966
193,Milk,4.453126
197,Milk,17.211439
198,Milk,15.235184
199,Milk,15.093126
200,Milk,0.161588
201,Milk,14.510622
209,Milk,5.017008
210,Milk,2.285682
211,Milk,5.480523
212,Milk,0.464294
213,Milk,0.206647
214,Milk,0.208346
215,Milk,0.276224
216,Milk,0.288096
219,Milk,18.476224
220,Milk,1.125859
221,Milk,1.130419
223,Milk,1.482963
224,Milk,1.316045
225,Milk,0.656636
226,Milk,4.930486
227,Milk,3.470863
228,Milk,3.878232
230,Milk,10.049716
231,Milk,10.322369
232,Milk,16.737071
233,Milk,17.680339
234,Milk,17.649991
237,Milk,0.12492
246,Milk,3.447105
247,Milk,3.481498
248,Milk,4.172526
249,Milk,2.797215
250,Milk,0.2266
251,Milk,0.224868
252,Milk,0.296861
254,Milk,21.338912
255,Milk,1.063327
256,Milk,1.011659
257,Milk,0.88826
258,Milk,1.28665
260,Milk,1.313885
261,Milk,4.555541
263,Milk,3.226094
264,Milk,2.112612
265,Milk,10.09246
266,Milk,9.253572
267,Milk,8.612266
269,Milk,9.786223
270,Milk,16.280378
271,Milk,15.67649
274,Milk,15.308566
275,Milk,11.98976
281,Milk,2.594576
282,Milk,4.579382
283,Milk,2.970088
284,Milk,4.548855
285,Milk,0.264312
286,Milk,0.241443
287,Milk,0.223878
288,Milk,0.238693
292,Milk,14.832966
293,Milk,0.902797
294,Milk,0.818205
295,Milk,0.549146
296,Milk,0.902272
298,Milk,1.314691
299,Milk,7.044644
300,Milk,3.789901
301,Milk,3.153317
303,Milk,5.985534
304,Milk,9.885336
305,Milk,11.756923
306,Milk,11.464512
307,Milk,11.427378
308,Milk,11.506444
309,Milk,15.034344
312,Milk,13.102765
313,Milk,12.550119
317,Milk,7.901914
321,Milk,3.042887
322,Milk,2.162245
323,Milk,4.159956
324,Milk,2.104789
325,Milk,0.247271
326,Milk,0.301432
327,Milk,0.272422
329,Milk,0.823974
330,Milk,28.58407
331,Milk,0.602726
332,Milk,0.940018
333,Milk,0.597462
334,Milk,0.524687
335,Milk,0.99267
336,Milk,1.073674
337,Milk,2.28512
338,Milk,4.150821
339,Milk,3.951551
340,Milk,3.046607
342,Milk,5.804209
343,Milk,6.119886
344,Milk,9.200377
346,Milk,11.479804
348,Milk,16.285064
349,Milk,14.809194
351,Milk,13.233482
352,Milk,13.614091
356,Milk,7.300343
360,Milk,2.504
361,Milk,2.324647
362,Milk,2.317541
363,Milk,1.612342
365,Milk,0.242159
366,Milk,0.202669
369,Milk,12.958277
370,Milk,16.670137
371,Milk,0.83412
372,Milk,0.946482
373,Milk,0.479974
374,Milk,0.509711
375,Milk,0.744981
376,Milk,1.331223
377,Milk,2.947975
379,Milk,3.490936
380,Milk,2.705637
381,Milk,2.988085
382,Milk,4.893536
383,Milk,5.261551
385,Milk,10.158638
386,Milk,16.177883
387,Milk,13.808087
388,Milk,16.824985
389,Milk,17.104988
390,Milk,0.122999
391,Milk,12.086627
392,Milk,12.523855
396,Milk,6.396406
406,Milk,2.370226
407,Milk,2.07467
408,Milk,2.668177
410,Milk,0.21991
414,Milk,14.995817
415,Milk,16.587379
416,Milk,0.684766
417,Milk,0.613109
418,Milk,0.555242
419,Milk,0.740687
420,Milk,0.995848
421,Milk,0.919534
422,Milk,0.770879
423,Milk,1.449791
424,Milk,2.209172
425,Milk,2.750373
426,Milk,2.52145
427,Milk,4.105419
428,Milk,3.842729
429,Milk,5.361811
430,Milk,9.922184
431,Milk,14.87115
432,Milk,13.446809
433,Milk,13.963275
434,Milk,16.409021
436,Milk,12.8642
437,Milk,10.45886
445,Milk,2.504925
446,Milk,2.275907
449,Milk,1.838391
450,Milk,2.307397
451,Milk,3.004583
452,Milk,3.793096
453,Milk,2.865679
454,Milk,0.22267
455,Milk,0.203915
460,Milk,15.889548
461,Milk,0.675866
462,Milk,0.592096
463,Milk,0.499619
464,Milk,0.59919
466,Milk,1.252817
467,Milk,0.843588
468,Milk,1.657023
469,Milk,1.847639
470,Milk,2.205676
471,Milk,1.713275
472,Milk,3.656028
473,Milk,3.929369
474,Milk,5.294122
475,Milk,6.051994
476,Milk,3.167302
477,Milk,2.930603
478,Milk,16.456945
479,Milk,13.486226
481,Milk,11.706615
490,Milk,3.958797
493,Milk,3.573533
494,Milk,3.265258
495,Milk,2.51335
496,Milk,2.107151
497,Milk,2.763526
498,Milk,0.255631
499,Milk,0.461595
500,Milk,0.316374
504,Milk,17.022117
505,Milk,0.680046
507,Milk,0.645558
508,Milk,0.698406
509,Milk,0.559814
511,Milk,0.749153
512,Milk,0.748171
513,Milk,1.725978
514,Milk,1.612423
515,Milk,1.418191
516,Milk,1.75233
517,Milk,4.392619
518,Milk,4.405808
519,Milk,4.093624
521,Milk,5.445716
522,Milk,4.66191
523,Milk,3.267013
525,Milk,11.370131
526,Milk,8.707078
529,Milk,3.954547
530,Milk,4.998296
531,Milk,8.330982
537,Milk,3.519049
538,Milk,2.056157
539,Milk,3.612929
540,Milk,3.567023
542,Milk,1.589748
543,Milk,0.279148
545,Milk,0.215162
546,Milk,0.282299
549,Milk,18.783519
550,Milk,0.911923
551,Milk,0.794947
552,Milk,0.667372
553,Milk,0.717985
554,Milk,0.684766
555,Milk,0.694219
556,Milk,0.890839
557,Milk,0.738163
558,Milk,2.264646
559,Milk,1.929546
560,Milk,1.634431
561,Milk,2.037801
562,Milk,3.622486
563,Milk,4.188041
564,Milk,4.291412
565,Milk,4.701199
566,Milk,3.026592
567,Milk,2.276561
568,Milk,2.469993
569,Milk,0.02322
570,Milk,10.311802
573,Milk,4.447409
574,Milk,4.368758
577,Milk,0.111088
581,Milk,3.368314
582,Milk,2.654086
583,Milk,2.457395
584,Milk,3.256553
585,Milk,1.833626
586,Milk,0.39887
588,Milk,0.279148
590,Milk,0.215162
591,Milk,0.282299
593,Milk,15.506987
594,Milk,17.125373
595,Milk,0.787567
596,Milk,0.749856
597,Milk,0.827954
598,Milk,0.803273
599,Milk,0.799259
600,Milk,0.711215
601,Milk,0.470032
602,Milk,0.720658
603,Milk,1.907885
604,Milk,1.900963
605,Milk,1.719143
606,Milk,4.778573
607,Milk,4.254435
608,Milk,2.645888
609,Milk,2.440749
610,Milk,2.718627
611,Milk,2.613784
614,Milk,0.020106
617,Milk,3.337911
624,Milk,3.129335
625,Milk,3.235648
626,Milk,2.654086
627,Milk,2.457395
628,Milk,3.256553
629,Milk,1.833626
630,Milk,0.39887
632,Milk,0.247562
633,Milk,0.361953
634,Milk,0.340144
635,Milk,0.320669
637,Milk,15.506987
638,Milk,17.125373
639,Milk,0.787567
640,Milk,0.749856
641,Milk,1.579251
642,Milk,1.366378
643,Milk,0.767629
644,Milk,0.699471
645,Milk,0.512992
646,Milk,0.804746
647,Milk,0.87581
648,Milk,2.727256
649,Milk,0.544016
650,Milk,0.760832
651,Milk,2.786785
652,Milk,3.537123
653,Milk,3.33733
654,Milk,3.407899
655,Milk,2.806516
656,Milk,2.747296
657,Milk,2.289298
658,Milk,1.587903
661,Milk,3.337911
668,Milk,3.129335
669,Milk,3.235648
670,Milk,1.517667
671,Milk,2.822036
672,Milk,1.56122
673,Milk,0.420061
674,Milk,0.407678
676,Milk,0.468256
677,Milk,0.340053
678,Milk,0.394448
679,Milk,0.248985
681,Milk,17.823846
682,Milk,15.997956
683,Milk,0.863864
684,Milk,0.734275
685,Milk,0.779862
686,Milk,1.579251
687,Milk,1.366378
688,Milk,0.767629
689,Milk,0.699471
690,Milk,0.512992
691,Milk,0.804746
692,Milk,0.87581
693,Milk,2.727256
694,Milk,0.544016
695,Milk,0.760832
696,Milk,2.786785
697,Milk,3.537123
698,Milk,3.33733
699,Milk,3.407899
700,Milk,2.806516
701,Milk,2.747296
702,Milk,2.289298
703,Milk,1.587903
705,Milk,3.15682
706,Milk,3.679743
707,Milk,4.572535
708,Milk,9.852122
709,Milk,8.009675
710,Milk,8.860872
711,Milk,9.825005
712,Milk,2.114503
713,Milk,2.111992
714,Milk,2.822221
715,Milk,1.003279
716,Milk,1.78188
717,Milk,0.5022
718,Milk,0.519878
719,Milk,0.373196
723,Milk,0.307833
726,Milk,20.094959
727,Milk,1.566934
728,Milk,1.601855
729,Milk,1.636256
730,Milk,1.443546
731,Milk,1.393733
732,Milk,1.589774
733,Milk,1.642214
734,Milk,0.868028
735,Milk,0.549423
736,Milk,0.82246
737,Milk,0.860217
738,Milk,1.839785
739,Milk,0.599201
740,Milk,0.754231
741,Milk,0.62113
742,Milk,3.872498
743,Milk,3.165543
745,Milk,2.868513
746,Milk,2.439334
749,Milk,3.658698
750,Milk,5.112689
751,Milk,4.537071
752,Milk,5.769955
753,Milk,9.303079
754,Milk,11.156839
755,Milk,8.414735
756,Milk,1.830869
757,Milk,1.622298
758,Milk,1.444851
759,Milk,1.63971
761,Milk,1.72538
762,Milk,0.321637
763,Milk,0.384072
764,Milk,0.446533
765,Milk,0.891773
766,Milk,0.388943
767,Milk,0.295199
768,Milk,0.287596
770,Milk,20.449716
771,Milk,16.67867
772,Milk,1.644746
773,Milk,1.778614
774,Milk,1.3061
775,Milk,1.34293
776,Milk,1.374602
777,Milk,1.483871
778,Milk,1.346523
779,Milk,0.902627
780,Milk,0.740179
781,Milk,0.947574
782,Milk,0.70629
783,Milk,0.526587
784,Milk,0.523632
785,Milk,0.746274
786,Milk,0.797151
787,Milk,2.757791
788,Milk,3.128879
789,Milk,2.584794
793,Milk,4.952092
794,Milk,5.015329
795,Milk,5.501559
796,Milk,10.882353
797,Milk,10.67649
798,Milk,9.441044
799,Milk,8.014814
800,Milk,1.653903
801,Milk,1.837442
802,Milk,1.427447
804,Milk,0.427497
805,Milk,0.383812
806,Milk,0.497168
807,Milk,0.535086
808,Milk,0.202044
809,Milk,0.29461
810,Milk,0.237813
812,Milk,22.861276
813,Milk,2.535043
814,Milk,1.870145
815,Milk,1.495218
816,Milk,1.451692
817,Milk,1.69188
818,Milk,1.288917
819,Milk,1.077884
820,Milk,0.865894
821,Milk,1.051041
822,Milk,1.041342
823,Milk,0.501083
824,Milk,0.50271
825,Milk,0.467971
826,Milk,3.795068
827,Milk,3.009314
828,Milk,2.645506
830,Milk,2.914563
834,Milk,1.755766
835,Milk,1.846699
836,Milk,4.248207
837,Milk,4.596354
838,Milk,2.217494
839,Milk,1.830626
840,Milk,1.730751
841,Milk,2.83021
843,Milk,2.168375
845,Milk,0.490297
846,Milk,0.618198
847,Milk,0.362296
848,Milk,0.589001
849,Milk,0.488524
850,Milk,0.303887
851,Milk,12.428117
852,Milk,11.221068
853,Milk,22.176115
854,Milk,22.523805
855,Milk,1.88659
856,Milk,2.014402
857,Milk,1.756326
858,Milk,1.508467
859,Milk,1.657086
860,Milk,1.703444
861,Milk,1.248926
862,Milk,1.035571
863,Milk,0.958265
864,Milk,0.635315
865,Milk,0.907901
866,Milk,0.524914
867,Milk,0.661289
868,Milk,3.020883
869,Milk,3.366448
870,Milk,2.763598
871,Milk,2.92239
872,Milk,2.790288
875,Milk,0.012364
876,Milk,1.411681
877,Milk,1.578124
878,Milk,1.681173
879,Milk,1.479321
880,Milk,2.210447
881,Milk,2.28094
882,Milk,2.22203
883,Milk,1.783238
885,Milk,2.161316
887,Milk,0.87739
888,Milk,0.366801
889,Milk,0.533183
890,Milk,0.517595
891,Milk,0.575005
892,Milk,0.441743
893,Milk,0.214162
895,Milk,10.107366
896,Milk,11.52801
897,Milk,4.067292
898,Milk,2.830559
899,Milk,2.221997
900,Milk,2.040826
901,Milk,2.195395
902,Milk,2.145659
903,Milk,1.619795
904,Milk,1.549694
905,Milk,1.124158
906,Milk,1.259214
907,Milk,2.033452
908,Milk,1.93932
909,Milk,2.007081
910,Milk,0.717043
911,Milk,0.565172
912,Milk,1.644696
913,Milk,3.784857
914,Milk,4.291843
915,Milk,4.347956
916,Milk,3.727206
917,Milk,2.482541
920,Milk,1.757487
921,Milk,1.477118
922,Milk,1.475024
923,Milk,1.501249
924,Milk,1.860473
925,Milk,2.079433
926,Milk,2.869135
927,Milk,1.648754
930,Milk,0.528058
931,Milk,0.450886
932,Milk,0.340841
933,Milk,0.868062
934,Milk,0.50971
936,Milk,0.239277
937,Milk,0.239049
938,Milk,10.890536
939,Milk,3.285563
940,Milk,3.179242
941,Milk,2.443878
942,Milk,2.694846
943,Milk,2.221026
944,Milk,2.09272
945,Milk,1.672561
946,Milk,1.532032
947,Milk,1.359714
948,Milk,1.356032
949,Milk,1.736309
950,Milk,1.711683
951,Milk,1.825311
952,Milk,2.315483
953,Milk,1.688394
954,Milk,1.495916
955,Milk,1.342216
956,Milk,4.579871
957,Milk,2.845849
961,Milk,1.006253
962,Milk,1.430514
963,Milk,1.342512
964,Milk,1.348168
965,Milk,1.770931
966,Milk,1.81978
967,Milk,1.84943
968,Milk,1.898974
972,Milk,0.369808
973,Milk,0.325842
974,Milk,0.424113
976,Milk,0.320275
977,Milk,0.372341
979,Milk,12.162745
980,Milk,10.865059
981,Milk,4.742842
982,Milk,3.016628
983,Milk,2.706926
984,Milk,2.722026
985,Milk,2.032682
986,Milk,2.307204
987,Milk,1.565889
988,Milk,1.833399
989,Milk,1.847669
990,Milk,2.201151
991,Milk,2.568514
992,Milk,1.805549
993,Milk,2.027258
994,Milk,2.023429
995,Milk,1.561314
998,Milk,0.016272
