OID,param,emissions
7,Eggs,1.929565
9,Eggs,17.948266
11,Eggs,8.543196
12,Eggs,4.542474
14,Eggs,10.41956
15,Eggs,1.755319
17,Eggs,6.790855
18,Eggs,0
20,Eggs,8.099393
21,Eggs,6.736012
22,Eggs,0.102289
24,Eggs,10.613057
25,Eggs,2.75464
26,Eggs,0.513114
27,Eggs,0.072851
28,Eggs,0.21313
30,Eggs,6.223439
31,Eggs,5.135366
32,Eggs,2.348079
33,Eggs,0.417323
34,Eggs,0.506731
35,Eggs,0.342732
36,Eggs,0.101328
39,Eggs,9.097704
40,Eggs,5.680924
41,Eggs,4.980456
42,Eggs,0.92602
43,Eggs,0.32488
44,Eggs,0.624886
45,Eggs,0.168673
46,Eggs,0.274032
49,Eggs,17.408407
50,Eggs,7.357774
51,Eggs,3.81346
52,Eggs,1.265258
53,Eggs,1.055741
54,Eggs,1.360679
55,Eggs,0.842017
56,Eggs,0.213768
57,Eggs,0.264106
62,Eggs,20.402261
63,Eggs,3.636197
64,Eggs,7.070728
65,Eggs,0.901504
66,Eggs,1.827744
67,Eggs,1.936221
68,Eggs,0.737318
69,Eggs,0.144826
70,Eggs,0.232589
71,Eggs,6.975537
79,Eggs,9.46439
80,Eggs,14.260396
81,Eggs,4.53336
82,Eggs,2.66678
83,Eggs,1.24809
84,Eggs,1.827744
85,Eggs,1.936221
86,Eggs,0.737318
87,Eggs,0.144826
88,Eggs,0.232589
89,Eggs,0.006208
91,Eggs,0
92,Eggs,0.400718
94,Eggs,0.804896
95,Eggs,0.387818
97,Eggs,0.57231
106,Eggs,9.46439
107,Eggs,14.260396
108,Eggs,4.53336
109,Eggs,2.66678
110,Eggs,1.24809
111,Eggs,1.28416
112,Eggs,1.40088
113,Eggs,0.885735
114,Eggs,0.230743
115,Eggs,0.577448
118,Eggs,0.527441
119,Eggs,0.785647
120,Eggs,0.436582
121,Eggs,0
124,Eggs,0.135142
125,Eggs,0.668977
126,Eggs,1.071456
129,Eggs,20.584436
130,Eggs,11.664231
140,Eggs,5.658042
141,Eggs,8.113486
142,Eggs,6.06147
143,Eggs,4.048044
144,Eggs,0.605879
145,Eggs,0.52807
146,Eggs,1.33009
147,Eggs,0.215101
148,Eggs,0.900094
151,Eggs,0.527441
152,Eggs,0.785647
153,Eggs,0.436582
154,Eggs,0
157,Eggs,0.135142
158,Eggs,0.668977
159,Eggs,1.071456
163,Eggs,20.584436
164,Eggs,11.664231
173,Eggs,44.643302
174,Eggs,5.652103
175,Eggs,6.421187
176,Eggs,1.410415
177,Eggs,1.121009
178,Eggs,0.374647
179,Eggs,0.446135
180,Eggs,0.314411
181,Eggs,0.264128
182,Eggs,0.266829
183,Eggs,0.138199
184,Eggs,3.802505
185,Eggs,1.212572
186,Eggs,0
187,Eggs,0.636369
188,Eggs,0
189,Eggs,0.427184
191,Eggs,1.113125
192,Eggs,0.731981
193,Eggs,1.004983
197,Eggs,12.337595
198,Eggs,17.427118
199,Eggs,13.024568
200,Eggs,12.936135
201,Eggs,9.576345
202,Eggs,2.444343
209,Eggs,7.556688
210,Eggs,3.817668
211,Eggs,3.594155
212,Eggs,1.594567
213,Eggs,0.680343
214,Eggs,0.862854
215,Eggs,0.706208
216,Eggs,0.757997
217,Eggs,0.368262
218,Eggs,0.080762
219,Eggs,3.672282
220,Eggs,0.964675
221,Eggs,0.797561
222,Eggs,0
223,Eggs,0.491898
224,Eggs,0.47368
225,Eggs,0.198082
226,Eggs,0.868438
227,Eggs,0.638899
228,Eggs,1.194521
230,Eggs,17.026641
231,Eggs,14.11521
232,Eggs,12.502263
233,Eggs,18.523189
234,Eggs,17.145788
237,Eggs,14.988776
238,Eggs,11.664904
239,Eggs,11.861733
246,Eggs,5.494936
247,Eggs,5.604046
248,Eggs,6.785741
249,Eggs,3.449023
250,Eggs,0.805072
251,Eggs,1.147072
252,Eggs,0.834862
253,Eggs,0.546329
254,Eggs,8.147854
255,Eggs,1.341359
256,Eggs,0.717183
257,Eggs,0.795483
258,Eggs,0.616088
259,Eggs,0
260,Eggs,0.322409
261,Eggs,0.897915
262,Eggs,0
263,Eggs,1.314189
264,Eggs,2.689953
265,Eggs,15.514396
266,Eggs,16.527399
267,Eggs,22.01509
268,Eggs,2.855015
269,Eggs,17.425748
270,Eggs,11.527251
271,Eggs,12.962897
272,Eggs,8.489703
273,Eggs,13.523136
274,Eggs,14.229137
275,Eggs,9.985606
281,Eggs,5.659749
282,Eggs,3.875133
283,Eggs,7.528191
284,Eggs,4.049504
285,Eggs,1.083041
286,Eggs,0.837199
287,Eggs,1.024498
288,Eggs,0.7803
289,Eggs,0.39724
290,Eggs,0.791764
291,Eggs,0
292,Eggs,28.892856
293,Eggs,3.383016
294,Eggs,2.066733
295,Eggs,1.863849
296,Eggs,2.243362
297,Eggs,0
298,Eggs,0.40874
299,Eggs,0.728548
300,Eggs,1.103259
301,Eggs,3.235454
302,Eggs,0
303,Eggs,7.886201
304,Eggs,2.432819
305,Eggs,21.299268
306,Eggs,20.63643
307,Eggs,19.867841
308,Eggs,15.78538
309,Eggs,16.079637
311,Eggs,6.141436
312,Eggs,17.39834
313,Eggs,16.257865
315,Eggs,31.25284
317,Eggs,26.673151
321,Eggs,7.333247
322,Eggs,6.74761
323,Eggs,7.810592
324,Eggs,2.894715
325,Eggs,1.792963
326,Eggs,1.461783
327,Eggs,0.681932
328,Eggs,0.237158
329,Eggs,0.34576
330,Eggs,28.852983
331,Eggs,2.723973
332,Eggs,3.250137
333,Eggs,2.809144
334,Eggs,2.577871
335,Eggs,1.601725
336,Eggs,0.921766
337,Eggs,1.156355
338,Eggs,0.975797
339,Eggs,1.303249
340,Eggs,7.141282
341,Eggs,8.61374
342,Eggs,6.367296
343,Eggs,24.429143
344,Eggs,11.313592
345,Eggs,2.067915
346,Eggs,15.540293
347,Eggs,15.032045
348,Eggs,16.718824
349,Eggs,21.142213
351,Eggs,16.514631
352,Eggs,11.109879
356,Eggs,34.855194
360,Eggs,8.688966
361,Eggs,5.39534
362,Eggs,2.280003
363,Eggs,1.73865
364,Eggs,0.869744
365,Eggs,1.143108
366,Eggs,0.438938
367,Eggs,0.461078
368,Eggs,0.377265
369,Eggs,33.663875
370,Eggs,35.710044
371,Eggs,5.145924
372,Eggs,5.454391
373,Eggs,5.97614
374,Eggs,2.767513
375,Eggs,2.139574
376,Eggs,0.792384
377,Eggs,0.799323
378,Eggs,0
379,Eggs,3.680637
380,Eggs,7.057399
381,Eggs,11.623263
382,Eggs,9.032029
383,Eggs,12.762475
384,Eggs,10.701748
385,Eggs,22.77321
386,Eggs,13.945102
387,Eggs,15.271925
388,Eggs,9.574808
389,Eggs,10.106658
390,Eggs,8.899443
391,Eggs,15.686351
392,Eggs,10.254034
396,Eggs,28.154661
405,Eggs,46.690174
406,Eggs,3.51776
407,Eggs,2.668861
408,Eggs,3.268224
409,Eggs,1.001295
410,Eggs,0.617663
411,Eggs,1.016986
412,Eggs,0.517955
413,Eggs,0.363565
414,Eggs,35.174495
415,Eggs,36.00555
416,Eggs,4.708255
417,Eggs,3.97316
418,Eggs,5.41094
419,Eggs,3.084342
420,Eggs,3.188965
421,Eggs,2.015258
422,Eggs,3.07985
423,Eggs,5.052836
424,Eggs,6.17196
425,Eggs,8.270232
426,Eggs,9.393711
427,Eggs,8.099749
428,Eggs,19.276891
429,Eggs,11.530665
430,Eggs,9.666583
431,Eggs,19.211122
432,Eggs,14.915335
433,Eggs,11.25773
434,Eggs,12.115887
435,Eggs,4.20355
436,Eggs,12.995933
437,Eggs,11.529009
445,Eggs,7.486408
446,Eggs,20.580415
449,Eggs,13.02493
450,Eggs,9.931012
451,Eggs,6.035974
452,Eggs,5.127755
453,Eggs,4.143429
454,Eggs,0.853618
455,Eggs,0.84824
456,Eggs,0.742346
457,Eggs,0.45131
458,Eggs,1.399637
459,Eggs,39.269184
460,Eggs,46.968589
461,Eggs,4.180457
462,Eggs,4.153808
463,Eggs,6.237229
464,Eggs,8.429821
466,Eggs,1.682367
467,Eggs,2.758414
468,Eggs,2.947796
469,Eggs,3.789606
470,Eggs,9.2526
471,Eggs,9.172395
472,Eggs,7.455208
473,Eggs,9.504083
474,Eggs,12.280996
475,Eggs,8.324859
476,Eggs,10.127044
477,Eggs,13.235748
478,Eggs,2.961908
479,Eggs,11.109062
480,Eggs,6.014568
481,Eggs,13.007973
486,Eggs,4.88316
487,Eggs,0
490,Eggs,8.878823
493,Eggs,7.607926
494,Eggs,5.744305
495,Eggs,6.125278
496,Eggs,4.21477
497,Eggs,3.429224
498,Eggs,5.973774
499,Eggs,10.782792
500,Eggs,3.722492
501,Eggs,0.966039
502,Eggs,0.843444
503,Eggs,0.813468
504,Eggs,58.659336
505,Eggs,5.23662
507,Eggs,8.413394
508,Eggs,7.927962
509,Eggs,4.151526
511,Eggs,7.820575
512,Eggs,3.648642
513,Eggs,5.009174
514,Eggs,5.705224
515,Eggs,6.482513
516,Eggs,9.052889
517,Eggs,9.121975
518,Eggs,10.03549
519,Eggs,7.733297
520,Eggs,6.984779
521,Eggs,8.530481
522,Eggs,13.036638
523,Eggs,11.434823
525,Eggs,27.242252
526,Eggs,20.617355
529,Eggs,5.958496
530,Eggs,13.04095
531,Eggs,13.93583
532,Eggs,9.740798
537,Eggs,12.403042
538,Eggs,3.833375
539,Eggs,6.634477
540,Eggs,4.836869
541,Eggs,3.70321
542,Eggs,2.815202
543,Eggs,2.487509
545,Eggs,0.913514
546,Eggs,1.546868
547,Eggs,0.95453
548,Eggs,0.886608
549,Eggs,52.595596
550,Eggs,7.990096
551,Eggs,6.695966
552,Eggs,4.473059
553,Eggs,5.829208
554,Eggs,4.804781
555,Eggs,2.873098
556,Eggs,2.011656
557,Eggs,5.046894
558,Eggs,7.184676
559,Eggs,6.791739
560,Eggs,6.365111
561,Eggs,9.269738
562,Eggs,11.075252
563,Eggs,8.137783
564,Eggs,7.77254
565,Eggs,7.409756
566,Eggs,13.383997
567,Eggs,20.694622
568,Eggs,12.096639
569,Eggs,8.185839
570,Eggs,24.233596
573,Eggs,6.931872
574,Eggs,7.033941
575,Eggs,21.343286
576,Eggs,10.186075
577,Eggs,13.815926
581,Eggs,11.744515
582,Eggs,3.533134
583,Eggs,3.873213
584,Eggs,4.638407
585,Eggs,3.797124
586,Eggs,0.911712
587,Eggs,2.230276
588,Eggs,2.487509
590,Eggs,0.913514
591,Eggs,1.546868
592,Eggs,0.95453
593,Eggs,46.943801
594,Eggs,47.290843
595,Eggs,4.767764
596,Eggs,6.562812
597,Eggs,6.384907
598,Eggs,5.19553
599,Eggs,4.223798
600,Eggs,4.039414
601,Eggs,31.747411
602,Eggs,10.513107
603,Eggs,8.35326
604,Eggs,15.923529
605,Eggs,8.025044
606,Eggs,10.017039
607,Eggs,9.248113
608,Eggs,12.445281
609,Eggs,12.869165
610,Eggs,7.088522
611,Eggs,8.401948
612,Eggs,6.647123
613,Eggs,2.936336
614,Eggs,27.966337
616,Eggs,4.509418
617,Eggs,7.26913
618,Eggs,26.857223
619,Eggs,11.338157
620,Eggs,8.910884
621,Eggs,14.590968
622,Eggs,12.183948
623,Eggs,5.088876
624,Eggs,8.343271
625,Eggs,3.729683
626,Eggs,3.533134
627,Eggs,3.873213
628,Eggs,4.638407
629,Eggs,3.797124
630,Eggs,0.911712
631,Eggs,2.230276
632,Eggs,2.049839
633,Eggs,4.041304
634,Eggs,2.16912
635,Eggs,1.354593
636,Eggs,0.670814
637,Eggs,46.943801
638,Eggs,47.290843
639,Eggs,4.767764
640,Eggs,6.562812
641,Eggs,5.524875
642,Eggs,6.901194
643,Eggs,6.068488
644,Eggs,5.024829
645,Eggs,33.221511
646,Eggs,3.833092
647,Eggs,5.144868
648,Eggs,4.343737
649,Eggs,4.029856
650,Eggs,3.490888
651,Eggs,7.350924
652,Eggs,8.6149
653,Eggs,10.52244
654,Eggs,6.765759
655,Eggs,8.910958
656,Eggs,24.692094
657,Eggs,18.524278
658,Eggs,4.557665
660,Eggs,4.509418
661,Eggs,7.26913
662,Eggs,26.857223
663,Eggs,11.338157
664,Eggs,8.910884
665,Eggs,14.590968
666,Eggs,12.183948
667,Eggs,5.088876
668,Eggs,8.343271
669,Eggs,3.729683
670,Eggs,3.098782
671,Eggs,3.227828
672,Eggs,6.623162
673,Eggs,2.871322
674,Eggs,0.847288
675,Eggs,3.532274
676,Eggs,4.139838
677,Eggs,0.946898
678,Eggs,0.972789
679,Eggs,0.922251
680,Eggs,1.123532
681,Eggs,94.475685
682,Eggs,49.388298
683,Eggs,8.175447
684,Eggs,7.889153
685,Eggs,8.537487
686,Eggs,5.524875
687,Eggs,6.901194
688,Eggs,6.068488
689,Eggs,5.024829
690,Eggs,33.221511
691,Eggs,3.833092
692,Eggs,5.144868
693,Eggs,4.343737
694,Eggs,4.029856
695,Eggs,3.490888
696,Eggs,7.350924
697,Eggs,8.6149
698,Eggs,10.52244
699,Eggs,6.765759
700,Eggs,8.910958
701,Eggs,24.692094
702,Eggs,18.524278
703,Eggs,4.557665
705,Eggs,28.034309
706,Eggs,14.452219
707,Eggs,15.443342
708,Eggs,21.98351
709,Eggs,15.161354
710,Eggs,21.59412
711,Eggs,12.746482
712,Eggs,9.868036
713,Eggs,8.591573
714,Eggs,5.019886
715,Eggs,2.582726
716,Eggs,3.21087
717,Eggs,5.835464
718,Eggs,5.987814
719,Eggs,0.980701
720,Eggs,3.576254
721,Eggs,2.24599
723,Eggs,1.315178
724,Eggs,1.051041
725,Eggs,1.95343
726,Eggs,99.22573
727,Eggs,12.001014
728,Eggs,11.332384
729,Eggs,8.389732
730,Eggs,7.392635
731,Eggs,6.386679
732,Eggs,6.762
733,Eggs,8.849129
734,Eggs,4.667774
735,Eggs,5.844818
736,Eggs,3.478143
737,Eggs,3.794973
738,Eggs,5.020011
739,Eggs,2.94478
740,Eggs,4.225945
741,Eggs,4.674317
742,Eggs,8.100024
743,Eggs,11.549625
744,Eggs,9.505828
745,Eggs,8.231364
746,Eggs,12.488909
747,Eggs,7.066097
749,Eggs,10.424197
750,Eggs,13.275011
751,Eggs,15.84804
752,Eggs,17.04256
753,Eggs,7.011494
754,Eggs,13.746874
755,Eggs,13.205596
756,Eggs,9.629673
757,Eggs,10.720993
758,Eggs,9.971487
759,Eggs,5.305746
760,Eggs,5.12962
761,Eggs,3.645997
762,Eggs,2.134135
763,Eggs,2.378688
764,Eggs,1.288377
765,Eggs,5.175766
766,Eggs,2.225733
767,Eggs,4.739531
768,Eggs,1.891577
769,Eggs,1.189201
770,Eggs,103.097839
771,Eggs,57.065299
772,Eggs,11.341209
773,Eggs,6.916211
774,Eggs,8.125683
775,Eggs,7.187534
776,Eggs,7.424284
777,Eggs,6.36053
778,Eggs,5.508466
779,Eggs,5.655235
780,Eggs,5.172507
781,Eggs,5.367849
782,Eggs,4.306847
783,Eggs,4.187252
784,Eggs,3.977606
785,Eggs,3.467715
786,Eggs,10.101451
787,Eggs,10.384542
788,Eggs,9.502555
789,Eggs,7.475459
790,Eggs,8.034745
791,Eggs,4.728647
793,Eggs,13.007048
794,Eggs,11.79181
795,Eggs,12.372458
796,Eggs,11.610584
797,Eggs,6.886765
798,Eggs,8.03609
799,Eggs,15.426176
800,Eggs,11.259325
801,Eggs,14.83063
802,Eggs,6.295699
803,Eggs,5.132754
804,Eggs,6.035573
805,Eggs,2.752014
806,Eggs,6.149747
807,Eggs,4.396208
808,Eggs,3.682011
809,Eggs,3.082796
810,Eggs,2.148733
811,Eggs,2.462205
812,Eggs,52.908046
813,Eggs,8.488961
814,Eggs,8.222376
815,Eggs,6.808639
816,Eggs,13.77207
817,Eggs,8.307083
818,Eggs,8.528055
819,Eggs,5.299415
820,Eggs,5.465617
821,Eggs,6.83776
822,Eggs,6.634804
823,Eggs,3.489254
824,Eggs,4.485629
825,Eggs,3.316918
826,Eggs,3.306338
827,Eggs,9.484651
828,Eggs,7.981284
829,Eggs,8.693059
830,Eggs,6.861927
831,Eggs,7.493403
832,Eggs,3.742406
834,Eggs,12.766098
835,Eggs,11.946301
836,Eggs,12.425638
837,Eggs,12.342311
838,Eggs,6.172483
839,Eggs,5.039783
840,Eggs,13.407341
841,Eggs,12.45325
842,Eggs,6.193144
843,Eggs,4.942317
844,Eggs,3.17811
845,Eggs,9.984551
846,Eggs,4.793575
847,Eggs,3.053989
848,Eggs,3.213647
849,Eggs,5.529634
850,Eggs,2.269232
851,Eggs,11.102899
852,Eggs,11.486965
853,Eggs,45.601852
854,Eggs,50.851139
855,Eggs,7.929835
856,Eggs,8.657653
857,Eggs,8.36851
858,Eggs,10.841646
859,Eggs,9.774806
860,Eggs,7.78493
861,Eggs,5.69327
862,Eggs,5.702563
863,Eggs,7.249104
864,Eggs,4.308126
865,Eggs,3.756873
866,Eggs,3.299046
867,Eggs,4.287006
868,Eggs,6.364698
869,Eggs,7.663043
870,Eggs,7.440717
871,Eggs,9.114579
872,Eggs,9.242998
873,Eggs,23.911706
874,Eggs,19.481695
875,Eggs,27.679899
876,Eggs,16.239736
877,Eggs,12.542677
878,Eggs,7.699332
879,Eggs,6.362874
880,Eggs,4.635589
881,Eggs,5.666412
882,Eggs,13.952098
883,Eggs,15.627241
884,Eggs,6.815502
885,Eggs,38.772384
886,Eggs,2.460283
887,Eggs,3.04775
888,Eggs,1.90284
889,Eggs,5.165729
890,Eggs,4.713763
891,Eggs,3.351462
892,Eggs,2.560357
893,Eggs,0.979333
894,Eggs,0.766358
895,Eggs,12.344879
896,Eggs,11.611559
897,Eggs,7.773076
898,Eggs,6.692255
899,Eggs,8.129549
900,Eggs,8.662023
901,Eggs,7.417741
902,Eggs,8.503908
903,Eggs,9.382413
904,Eggs,7.07693
905,Eggs,6.828799
906,Eggs,6.923476
907,Eggs,5.266776
908,Eggs,8.054677
909,Eggs,4.042785
910,Eggs,3.777857
911,Eggs,3.448189
912,Eggs,4.115182
913,Eggs,8.127357
914,Eggs,11.635638
915,Eggs,8.269763
916,Eggs,5.406062
917,Eggs,3.897488
920,Eggs,6.277595
921,Eggs,7.421139
922,Eggs,9.14847
923,Eggs,8.265371
924,Eggs,10.26998
925,Eggs,4.762361
926,Eggs,4.991911
927,Eggs,11.654455
928,Eggs,4.595491
929,Eggs,1.893645
930,Eggs,2.412663
931,Eggs,2.485636
932,Eggs,1.802791
933,Eggs,3.808357
934,Eggs,2.607427
935,Eggs,1.373802
936,Eggs,0.81655
937,Eggs,1.042557
938,Eggs,12.06117
939,Eggs,8.076458
940,Eggs,7.606803
941,Eggs,6.051228
942,Eggs,4.305165
943,Eggs,6.481782
944,Eggs,6.839816
945,Eggs,8.323735
946,Eggs,8.47344
947,Eggs,7.132787
948,Eggs,8.5593
949,Eggs,4.76545
950,Eggs,4.706461
951,Eggs,6.140407
952,Eggs,4.709084
953,Eggs,9.075024
954,Eggs,9.879051
955,Eggs,10.404564
956,Eggs,5.538463
957,Eggs,5.505267
960,Eggs,3.684197
961,Eggs,5.298711
962,Eggs,6.375827
963,Eggs,7.443854
964,Eggs,7.510776
965,Eggs,9.434287
966,Eggs,10.265529
967,Eggs,11.271209
968,Eggs,35.11473
969,Eggs,8.570541
970,Eggs,2.691263
971,Eggs,2.695459
972,Eggs,2.27508
973,Eggs,1.344118
974,Eggs,2.394793
975,Eggs,1.151335
976,Eggs,1.105196
977,Eggs,1.018319
978,Eggs,0.870074
979,Eggs,10.855464
980,Eggs,10.178352
981,Eggs,7.915832
982,Eggs,5.007453
983,Eggs,4.985548
984,Eggs,7.301951
985,Eggs,7.798772
986,Eggs,8.235582
987,Eggs,7.7431
988,Eggs,6.143925
989,Eggs,9.113247
990,Eggs,4.555701
991,Eggs,4.763076
992,Eggs,5.513275
993,Eggs,5.538853
994,Eggs,8.42981
995,Eggs,8.768667
998,Eggs,7.081746
999,Eggs,3.142864
1000,Eggs,5.978106
1001,Eggs,4.722357
1002,Eggs,6.797967
1003,Eggs,5.213135
1004,Eggs,5.775128
1005,Eggs,6.662281
1006,Eggs,8.246743
1007,Eggs,9.795237
1008,Eggs,33.157897
1009,Eggs,28.28894
1010,Eggs,2.386187
1011,Eggs,1.463121
1012,Eggs,0.553274
