OID,param,emissions
7,Meat,8.82908
9,Meat,9.162343
11,Meat,11.479209
12,Meat,4.632122
14,Meat,13.737972
15,Meat,7.194869
17,Meat,9.531948
18,Meat,0
20,Meat,10.146538
21,Meat,10.027919
22,Meat,0.073718
24,Meat,10.286518
25,Meat,6.513332
26,Meat,0.372075
27,Meat,0.026731
28,Meat,0.351133
30,Meat,6.671986
31,Meat,5.409559
32,Meat,2.331544
33,Meat,2.502339
34,Meat,0.404679
35,Meat,0.245817
36,Meat,0.053522
39,Meat,3.427448
40,Meat,4.305326
41,Meat,5.053917
42,Meat,0.99282
43,Meat,0.481561
44,Meat,0.647505
45,Meat,0.061168
46,Meat,0.22081
49,Meat,20.249803
50,Meat,2.769832
51,Meat,4.0174
52,Meat,1.081315
53,Meat,0.856652
54,Meat,1.164752
55,Meat,0.852567
56,Meat,0.077612
57,Meat,0.266571
62,Meat,28.528377
63,Meat,2.352943
64,Meat,8.868636
65,Meat,1.041128
66,Meat,1.383727
67,Meat,2.433867
68,Meat,0.859714
69,Meat,0.062711
70,Meat,0.181007
71,Meat,9.054903
79,Meat,7.303821
80,Meat,6.68701
81,Meat,3.161095
82,Meat,1.447994
83,Meat,1.261995
84,Meat,1.383727
85,Meat,2.433867
86,Meat,0.859714
87,Meat,0.062711
88,Meat,0.181007
89,Meat,0.002264
91,Meat,0
92,Meat,0.311807
94,Meat,0.45504
95,Meat,0.407341
97,Meat,0.877647
106,Meat,7.303821
107,Meat,6.68701
108,Meat,3.161095
109,Meat,1.447994
110,Meat,1.261995
111,Meat,1.1835
112,Meat,1.664645
113,Meat,1.083464
114,Meat,0.178751
115,Meat,0.427614
118,Meat,0.395412
119,Meat,0.489131
120,Meat,0.396366
121,Meat,0
124,Meat,0.05114
125,Meat,1.121984
126,Meat,1.698702
129,Meat,30.502721
130,Meat,21.201004
140,Meat,2.127588
141,Meat,4.222237
142,Meat,6.859388
143,Meat,5.015542
144,Meat,0.542348
145,Meat,0.596537
146,Meat,0.703671
147,Meat,0.195763
148,Meat,0.665445
151,Meat,0.395412
152,Meat,0.489131
153,Meat,0.396366
154,Meat,0
157,Meat,0.05114
158,Meat,1.121984
159,Meat,1.698702
163,Meat,30.502721
164,Meat,21.201004
173,Meat,47.543975
174,Meat,2.128012
175,Meat,7.389359
176,Meat,1.629234
177,Meat,1.250478
178,Meat,0.389619
179,Meat,0.297345
180,Meat,0.285632
181,Meat,0.249418
182,Meat,0.215293
183,Meat,0.050443
184,Meat,5.888832
185,Meat,0.758308
186,Meat,0
187,Meat,0.58279
188,Meat,0
189,Meat,0.39452
