OID,param,emissions
7,Meat,34.242908
9,Meat,66.435844
11,Meat,135.396759
12,Meat,46.60466
14,Meat,75.750228
15,Meat,27.004669
17,Meat,58.408039
20,Meat,73.962318
21,Meat,104.529037
22,Meat,21.34605
24,Meat,241.479598
25,Meat,252.694351
26,Meat,20.164627
27,Meat,7.589276
28,Meat,13.152041
30,Meat,114.16806
31,Meat,101.416007
32,Meat,61.112621
33,Meat,92.786315
34,Meat,22.734853
35,Meat,0
36,Meat,8.836159
39,Meat,199.507156
40,Meat,95.802162
41,Meat,67.272415
42,Meat,19.568744
43,Meat,75.695663
44,Meat,23.589574
45,Meat,4.71546
46,Meat,5.313207
49,Meat,152.014053
50,Meat,155.843109
51,Meat,44.743114
52,Meat,35.7555
53,Meat,27.546382
54,Meat,28.870134
55,Meat,38.755531
56,Meat,7.893296
57,Meat,6.06828
62,Meat,145.023239
63,Meat,78.415184
64,Meat,41.728118
65,Meat,67.838096
66,Meat,40.683982
67,Meat,32.462627
68,Meat,20.893192
69,Meat,7.561823
70,Meat,5.910227
71,Meat,38.743598
79,Meat,42.086761
80,Meat,80.52539
81,Meat,91.50193
82,Meat,37.091068
83,Meat,50.153072
84,Meat,40.683982
85,Meat,32.462627
86,Meat,20.893192
87,Meat,7.561823
88,Meat,5.910227
92,Meat,17.457914
94,Meat,57.617519
95,Meat,40.306529
97,Meat,39.801216
106,Meat,42.086761
107,Meat,80.52539
108,Meat,91.50193
109,Meat,37.091068
110,Meat,50.153072
111,Meat,29.340448
112,Meat,30.80902
113,Meat,20.984882
114,Meat,10.072998
115,Meat,4.62911
118,Meat,49.3357
119,Meat,54.694889
120,Meat,38.72953
125,Meat,37.131729
126,Meat,61.310138
129,Meat,131.158035
130,Meat,187.682022
140,Meat,34.922172
141,Meat,77.06147
142,Meat,108.385261
143,Meat,120.247329
144,Meat,19.210023
145,Meat,20.479202
146,Meat,16.915943
147,Meat,10.882677
148,Meat,5.967249
151,Meat,49.3357
152,Meat,54.694889
153,Meat,38.72953
158,Meat,37.131729
159,Meat,61.310138
163,Meat,131.158035
164,Meat,187.682022
173,Meat,224.525894
174,Meat,164.21257
175,Meat,127.100959
176,Meat,56.446758
177,Meat,39.106651
178,Meat,20.317888
179,Meat,17.885381
180,Meat,15.064962
181,Meat,12.72543
182,Meat,5.798851
184,Meat,31.910839
185,Meat,55.441734
187,Meat,58.174266
189,Meat,61.750396
191,Meat,42.737461
192,Meat,35.515872
193,Meat,39.753101
197,Meat,187.607757
198,Meat,221.254272
199,Meat,106.982925
200,Meat,62.948928
201,Meat,75.052871
202,Meat,72.940689
209,Meat,104.759346
210,Meat,97.754844
211,Meat,93.30912
212,Meat,24.733758
213,Meat,28.297376
214,Meat,27.852481
215,Meat,30.310514
216,Meat,29.853569
217,Meat,7.907812
219,Meat,37.817844
220,Meat,56.216762
221,Meat,55.501453
223,Meat,56.036476
224,Meat,53.861747
225,Meat,41.06237
226,Meat,40.674903
227,Meat,37.614677
228,Meat,49.307537
230,Meat,150.828399
231,Meat,148.82373
232,Meat,131.737167
233,Meat,291.866058
234,Meat,209.509002
237,Meat,52.442871
238,Meat,80.525009
239,Meat,57.305679
246,Meat,131.198043
247,Meat,175.430786
248,Meat,132.903289
249,Meat,60.507888
250,Meat,28.362594
251,Meat,38.654254
252,Meat,31.059028
253,Meat,17.995523
254,Meat,50.469406
255,Meat,54.794895
256,Meat,52.46635
257,Meat,20.241474
258,Meat,61.448406
260,Meat,52.005222
261,Meat,43.55384
263,Meat,34.180595
264,Meat,46.229785
265,Meat,240.783706
266,Meat,170.04956
267,Meat,322.240203
269,Meat,238.754943
270,Meat,162.024887
271,Meat,150.276168
272,Meat,77.029678
273,Meat,91.55191
274,Meat,143.689483
275,Meat,73.839515
281,Meat,80.206855
282,Meat,160.430267
283,Meat,101.571037
284,Meat,135.992431
285,Meat,56.429115
286,Meat,32.492763
287,Meat,29.58307
288,Meat,25.05274
289,Meat,5.717272
290,Meat,3.828212
292,Meat,57.247238
293,Meat,49.011829
294,Meat,52.915966
295,Meat,25.369108
296,Meat,40.888042
298,Meat,62.559528
299,Meat,57.942337
300,Meat,36.840515
301,Meat,36.31023
303,Meat,142.687988
305,Meat,277.091064
306,Meat,205.915771
307,Meat,255.361282
308,Meat,264.947937
309,Meat,361.756896
311,Meat,69.212181
312,Meat,224.735275
313,Meat,203.955032
315,Meat,349.954772
317,Meat,306.106628
321,Meat,201.835845
322,Meat,111.918663
323,Meat,144.849319
324,Meat,70.397644
325,Meat,74.650665
326,Meat,51.235622
327,Meat,31.606567
328,Meat,11.522395
329,Meat,11.288016
330,Meat,84.114677
331,Meat,27.020286
332,Meat,37.696094
333,Meat,22.153572
334,Meat,13.821094
335,Meat,61.742828
336,Meat,20.967239
337,Meat,62.347423
338,Meat,39.111522
339,Meat,33.552093
340,Meat,69.087051
341,Meat,90.789016
342,Meat,152.878234
343,Meat,300.15213
344,Meat,166.063354
346,Meat,275.173736
347,Meat,228.857803
348,Meat,334.619506
349,Meat,286.906799
351,Meat,157.091003
352,Meat,110.761985
356,Meat,403.884216
360,Meat,95.103515
361,Meat,86.167678
362,Meat,68.865295
363,Meat,100.773704
364,Meat,51.844337
365,Meat,38.707569
366,Meat,23.083269
367,Meat,7.398874
368,Meat,5.950659
369,Meat,62.106338
370,Meat,85.44609
371,Meat,142.853179
372,Meat,113.371231
373,Meat,50.942283
374,Meat,24.657104
375,Meat,46.592006
376,Meat,47.560569
377,Meat,78.244705
379,Meat,38.98302
380,Meat,134.074432
381,Meat,75.668823
382,Meat,122.907562
383,Meat,162.121032
384,Meat,165.774276
385,Meat,266.727874
386,Meat,206.009994
387,Meat,255.34497
388,Meat,233.146942
389,Meat,197.532913
390,Meat,32.706295
391,Meat,124.747192
392,Meat,100.372909
396,Meat,285.940277
405,Meat,23.672441
406,Meat,87.832283
407,Meat,69.623626
408,Meat,95.964195
409,Meat,31.97997
410,Meat,21.273765
411,Meat,13.222775
412,Meat,9.188669
413,Meat,6.033075
414,Meat,70.514884
415,Meat,259.351135
416,Meat,169.61444
417,Meat,98.607894
418,Meat,50.043106
419,Meat,99.615745
420,Meat,62.158737
421,Meat,37.160335
422,Meat,125.892402
423,Meat,53.694992
424,Meat,115.056694
425,Meat,149.944641
