OID,param,emissions
7,Milk,49.004661
9,Milk,26.962875
11,Milk,21.673727
12,Milk,67.033958
14,Milk,30.741138
15,Milk,38.595188
17,Milk,23.703628
20,Milk,30.017356
21,Milk,42.427726
22,Milk,5.893578
24,Milk,97.881393
25,Milk,69.806884
26,Milk,5.56746
27,Milk,1.208684
28,Milk,2.305391
30,Milk,46.332172
31,Milk,41.160907
32,Milk,9.735415
33,Milk,25.623025
34,Milk,3.620764
35,Milk,0
36,Milk,1.40725
39,Milk,79.499397
40,Milk,38.87667
41,Milk,27.305936
42,Milk,3.116674
43,Milk,20.897188
44,Milk,3.756881
45,Milk,0.750983
46,Milk,0.846144
49,Milk,61.585384
50,Milk,63.117813
51,Milk,18.157793
52,Milk,5.698295
53,Milk,4.388067
54,Milk,4.598536
55,Milk,6.172094
56,Milk,1.257132
57,Milk,1.063673
62,Milk,58.810146
63,Milk,31.782751
64,Milk,16.934885
65,Milk,10.809415
66,Milk,6.479878
67,Milk,5.172389
68,Milk,3.327671
69,Milk,1.204265
70,Milk,1.035955
71,Milk,29.788997
79,Milk,16.990507
80,Milk,32.641761
81,Milk,37.122901
82,Milk,15.052764
83,Milk,7.989025
84,Milk,6.479878
85,Milk,5.172389
86,Milk,3.327671
87,Milk,1.204265
88,Milk,1.035955
92,Milk,7.040809
94,Milk,10.799648
95,Milk,7.41768
97,Milk,8.282314
106,Milk,16.990507
107,Milk,32.641761
108,Milk,37.122901
109,Milk,15.052764
110,Milk,7.989025
111,Milk,4.673982
112,Milk,4.907387
113,Milk,3.34228
114,Milk,1.604223
115,Milk,0.811388
118,Milk,8.963978
119,Milk,10.315438
120,Milk,6.74911
125,Milk,7.500964
126,Milk,12.869535
129,Milk,52.811531
130,Milk,75.77687
140,Milk,14.129302
141,Milk,31.178487
142,Milk,43.988746
143,Milk,19.168453
144,Milk,3.060087
145,Milk,3.26168
146,Milk,2.69421
147,Milk,1.733234
148,Milk,1.046035
151,Milk,8.963978
152,Milk,10.315438
153,Milk,6.74911
158,Milk,7.500964
159,Milk,12.869535
163,Milk,52.811531
164,Milk,75.77687
173,Milk,91.160858
174,Milk,66.46286
175,Milk,51.580749
176,Milk,8.999152
177,Milk,6.231222
178,Milk,3.237675
179,Milk,2.848834
180,Milk,2.399802
181,Milk,2.026664
182,Milk,0.92361
184,Milk,23.4377
185,Milk,10.402005
187,Milk,10.772402
189,Milk,11.698631
191,Milk,9.252546
192,Milk,7.159731
193,Milk,8.08172
197,Milk,75.397994
198,Milk,89.271362
199,Milk,43.28477
200,Milk,25.541362
201,Milk,29.981664
202,Milk,27.951087
209,Milk,42.449874
210,Milk,39.666667
211,Milk,37.845195
212,Milk,10.038691
213,Milk,4.506771
214,Milk,4.436911
215,Milk,4.827632
216,Milk,4.754811
217,Milk,1.386221
219,Milk,26.506847
220,Milk,10.375022
221,Milk,10.197702
223,Milk,10.70809
224,Milk,10.188642
225,Milk,7.271677
226,Milk,8.669919
227,Milk,7.6515
228,Milk,10.006228
230,Milk,60.970249
231,Milk,60.282638
232,Milk,53.342708
233,Milk,117.368949
234,Milk,84.268447
237,Milk,21.205902
238,Milk,31.668474
239,Milk,22.923433
246,Milk,53.22808
247,Milk,71.15567
248,Milk,53.872249
249,Milk,24.556644
250,Milk,4.517636
251,Milk,6.156862
252,Milk,4.947146
253,Milk,2.866222
254,Milk,38.299793
255,Milk,10.208905
256,Milk,9.920872
257,Milk,8.154407
258,Milk,11.603237
260,Milk,9.815805
261,Milk,9.235498
263,Milk,6.558205
264,Milk,7.641751
265,Milk,97.308784
266,Milk,68.810272
267,Milk,130.451538
269,Milk,95.829978
270,Milk,65.581474
271,Milk,60.593662
272,Milk,30.256805
273,Milk,36.46725
274,Milk,57.913818
275,Milk,29.963228
281,Milk,31.665513
282,Milk,65.083442
283,Milk,41.082626
284,Milk,55.171691
285,Milk,8.991021
286,Milk,5.175233
287,Milk,4.712052
288,Milk,3.990503
289,Milk,0.910555
290,Milk,2.976445
292,Milk,53.204193
293,Milk,8.300719
294,Milk,9.653404
295,Milk,4.071177
296,Milk,6.785348
298,Milk,12.291967
299,Milk,11.141102
300,Milk,7.555155
301,Milk,5.846512
303,Milk,57.786495
305,Milk,112.36502
306,Milk,83.104629
307,Milk,102.906372
308,Milk,106.84452
309,Milk,146.641632
311,Milk,27.334297
312,Milk,91.201324
313,Milk,82.749359
315,Milk,140.608627
317,Milk,124.651924
321,Milk,80.581672
322,Milk,45.218193
323,Milk,58.725677
324,Milk,28.567008
325,Milk,11.89287
326,Milk,8.16043
327,Milk,5.03388
328,Milk,1.835172
329,Milk,1.797808
330,Milk,70.140556
331,Milk,10.847333
332,Milk,15.122434
333,Milk,8.81626
334,Milk,5.592818
335,Milk,11.225008
336,Milk,8.438269
337,Milk,13.553881
338,Milk,7.726497
339,Milk,6.833532
340,Milk,28.024038
341,Milk,36.713809
342,Milk,62.000144
343,Milk,121.666419
344,Milk,67.251815
346,Milk,110.567878
347,Milk,92.606391
348,Milk,134.719589
349,Milk,115.339653
351,Milk,63.723011
352,Milk,44.92675
356,Milk,163.799438
360,Milk,38.458095
361,Milk,34.901958
362,Milk,27.942018
363,Milk,16.081748
364,Milk,8.264955
365,Milk,6.165379
366,Milk,3.676194
367,Milk,1.178322
368,Milk,0.947752
369,Milk,57.38227
370,Milk,79.043693
371,Milk,57.63961
372,Milk,45.779067
373,Milk,20.387319
374,Milk,9.999286
375,Milk,7.497241
376,Milk,9.27424
377,Milk,15.599568
379,Milk,6.327739
380,Milk,54.351142
381,Milk,30.650966
382,Milk,49.876018
383,Milk,65.7443
384,Milk,67.162727
385,Milk,107.917793
386,Milk,82.175621
387,Milk,103.425079
388,Milk,93.447746
389,Milk,79.477012
390,Milk,13.252575
391,Milk,50.568546
392,Milk,40.716705
396,Milk,115.990707
405,Milk,9.551406
406,Milk,35.622646
407,Milk,28.255268
408,Milk,38.94474
409,Milk,5.093921
410,Milk,3.388539
411,Milk,2.106063
412,Milk,1.46343
413,Milk,0.960925
414,Milk,64.808677
415,Milk,237.601013
416,Milk,68.246574
417,Milk,39.597358
418,Milk,20.180568
419,Milk,40.351936
420,Milk,25.207653
421,Milk,15.079643
422,Milk,20.491472
423,Milk,21.731569
424,Milk,46.507183
425,Milk,59.630535
426,Milk,52.779151
427,Milk,41.148696
428,Milk,62.673782
429,Milk,67.37033
430,Milk,83.385253
431,Milk,111.598724
432,Milk,95.116653
433,Milk,93.888626
434,Milk,70.178482
435,Milk,7.147164
436,Milk,58.85073
437,Milk,57.308803
445,Milk,46.581428
446,Milk,26.234195
449,Milk,35.007389
450,Milk,43.300769
451,Milk,60.991939
452,Milk,56.877719
453,Milk,43.734916
454,Milk,5.65052
455,Milk,2.503686
456,Milk,1.890541
457,Milk,1.42597
458,Milk,1.522877
460,Milk,227.863769
461,Milk,33.719711
462,Milk,38.977703
463,Milk,85.983505
464,Milk,78.788742
466,Milk,15.04618
467,Milk,36.671848
468,Milk,23.724071
469,Milk,42.473403
470,Milk,51.246662
471,Milk,47.599487
472,Milk,52.094341
473,Milk,47.446571
474,Milk,58.154285
475,Milk,53.497928
476,Milk,84.558959
477,Milk,103.859329
479,Milk,50.23426
480,Milk,7.537936
481,Milk,43.302814
483,Milk,69.862251
485,Milk,21.58534
486,Milk,22.9659
490,Milk,67.804641
493,Milk,62.110305
494,Milk,42.608398
495,Milk,54.407989
496,Milk,56.180072
497,Milk,49.867599
498,Milk,26.439048
499,Milk,15.447127
500,Milk,5.394763
501,Milk,2.098362
502,Milk,4.141574
503,Milk,2.523719
504,Milk,173.873138
505,Milk,102.263648
507,Milk,84.511352
508,Milk,30.290878
509,Milk,65.296287
511,Milk,61.924049
512,Milk,19.618633
513,Milk,34.48846
514,Milk,46.974353
515,Milk,50.077335
516,Milk,51.783744
517,Milk,35.370567
518,Milk,41.484992
519,Milk,63.253723
520,Milk,59.223453
521,Milk,58.814853
522,Milk,86.809288
523,Milk,79.442649
525,Milk,119.604499
526,Milk,53.456485
529,Milk,42.853595
530,Milk,84.102668
531,Milk,55.288692
532,Milk,17.122764
537,Milk,54.972229
538,Milk,26.662525
539,Milk,36.259346
540,Milk,57.439041
541,Milk,17.194061
542,Milk,41.554969
543,Milk,9.307604
545,Milk,3.361683
546,Milk,6.789083
547,Milk,4.244028
548,Milk,2.834045
549,Milk,171.359207
550,Milk,115.639472
551,Milk,88.954063
552,Milk,75.490882
553,Milk,114.458572
554,Milk,74.661392
555,Milk,26.857679
557,Milk,109.218917
558,Milk,63.315689
559,Milk,45.015785
560,Milk,56.643867
561,Milk,65.713401
562,Milk,60.020092
563,Milk,47.906799
564,Milk,24.945226
565,Milk,42.490673
566,Milk,74.866859
567,Milk,45.030448
568,Milk,58.506317
570,Milk,102.635566
573,Milk,55.373397
574,Milk,50.874816
575,Milk,18.204143
576,Milk,24.901014
577,Milk,31.905197
581,Milk,24.919427
582,Milk,30.160039
583,Milk,33.464859
584,Milk,36.72285
585,Milk,35.904804
586,Milk,4.856545
587,Milk,10.865652
588,Milk,9.307604
590,Milk,3.361683
591,Milk,6.789083
592,Milk,4.244028
593,Milk,168.31427
594,Milk,380.827087
595,Milk,145.583969
596,Milk,107.048347
597,Milk,129.307662
598,Milk,84.887863
599,Milk,136.700775
600,Milk,115.292793
601,Milk,27.951021
602,Milk,106.753074
603,Milk,60.612941
604,Milk,74.516563
605,Milk,84.402008
606,Milk,60.814605
607,Milk,49.518638
608,Milk,50.03347
609,Milk,47.696533
610,Milk,71.471633
611,Milk,48.914161
614,Milk,18.1098
616,Milk,9.696061
617,Milk,17.531061
618,Milk,20.97524
619,Milk,26.900171
620,Milk,37.749382
621,Milk,44.738479
622,Milk,49.829242
623,Milk,25.874174
624,Milk,23.172348
625,Milk,37.16109
626,Milk,30.160039
627,Milk,33.464859
628,Milk,36.72285
629,Milk,35.904804
630,Milk,4.856545
631,Milk,10.865652
632,Milk,6.103952
633,Milk,5.047927
634,Milk,7.920051
635,Milk,6.907887
636,Milk,3.688867
637,Milk,168.31427
638,Milk,380.827087
639,Milk,145.583969
640,Milk,107.048347
641,Milk,105.966644
642,Milk,51.924263
643,Milk,62.512413
644,Milk,19.449098
645,Milk,33.23143
646,Milk,21.091976
647,Milk,38.282306
648,Milk,36.645263
649,Milk,61.794555
650,Milk,31.614889
651,Milk,65.072463
652,Milk,62.803451
653,Milk,55.916893
654,Milk,66.099678
655,Milk,55.237117
656,Milk,107.677932
657,Milk,75.85308
660,Milk,9.696061
661,Milk,17.531061
662,Milk,20.97524
663,Milk,26.900171
664,Milk,37.749382
665,Milk,44.738479
666,Milk,49.829242
667,Milk,25.874174
668,Milk,23.172348
669,Milk,37.16109
670,Milk,18.29902
671,Milk,35.090839
672,Milk,38.621612
673,Milk,13.78283
674,Milk,4.811033
675,Milk,6.260983
676,Milk,5.22784
677,Milk,7.858734
678,Milk,7.410373
679,Milk,5.178917
680,Milk,4.685775
681,Milk,123.416709
682,Milk,147.198272
683,Milk,103.998397
