OID,param,emissions
7,Total,24.956779
9,Total,21.054845
11,Total,27.099611
12,Total,15.002897
14,Total,23.542194
15,Total,17.427881
17,Total,29.208833
20,Total,26.277687
21,Total,18.855285
22,Total,4.009119
24,Total,33.59814
25,Total,13.070082
26,Total,3.805382
27,Total,2.315506
30,Total,34.972999
31,Total,29.853
32,Total,1.716815
33,Total,10.197647
34,Total,4.572079
35,Total,3.572856
36,Total,2.505108
39,Total,30.597476
40,Total,33.835895
41,Total,32.23069
42,Total,0.960483
43,Total,9.991184
44,Total,1.037387
49,Total,25.525222
50,Total,21.042804
51,Total,31.55643
52,Total,1.330953
55,Total,1.938101
62,Total,24.379442
63,Total,11.98145
64,Total,31.194087
65,Total,1.101873
66,Total,2.021183
67,Total,0.967702
71,Total,30.989854
79,Total,0.061372
80,Total,12.33056
81,Total,12.013951
82,Total,30.720821
83,Total,1.763846
84,Total,2.021183
85,Total,0.967702
92,Total,4.99136
94,Total,10.436596
95,Total,5.691701
97,Total,18.007413
106,Total,0.061372
107,Total,12.33056
108,Total,12.013951
109,Total,30.720821
110,Total,1.763846
111,Total,1.796791
112,Total,1.220768
118,Total,6.582596
119,Total,6.665743
120,Total,4.648225
124,Total,10.400646
125,Total,18.632875
126,Total,19.757917
129,Total,79.406639
130,Total,79.732704
141,Total,25.803937
142,Total,30.242774
143,Total,21.196676
146,Total,1.398471
147,Total,1.070855
151,Total,6.582596
152,Total,6.665743
153,Total,4.648225
157,Total,10.400646
158,Total,18.632875
159,Total,19.757917
163,Total,79.406639
164,Total,79.732704
173,Total,0.059443
174,Total,22.356492
175,Total,30.868764
176,Total,1.55259
177,Total,1.846459
179,Total,1.222824
180,Total,1.318609
181,Total,1.184861
184,Total,26.753456
185,Total,5.536935
187,Total,6.198534
189,Total,12.248387
191,Total,24.25292
192,Total,19.158012
193,Total,21.995824
197,Total,82.977882
198,Total,73.03759
199,Total,72.037567
200,Total,0.291406
201,Total,70.640625
209,Total,23.869319
210,Total,10.853265
211,Total,26.037794
212,Total,2.203876
213,Total,0.977779
214,Total,0.985781
215,Total,1.307081
216,Total,1.363112
219,Total,20.031946
220,Total,5.450855
221,Total,5.470461
223,Total,7.207835
224,Total,6.389069
225,Total,3.160393
226,Total,24.588537
227,Total,17.147159
228,Total,19.148553
230,Total,48.025009
231,Total,49.159019
232,Total,79.74401
233,Total,85.165725
234,Total,84.999809
237,Total,0.22528
246,Total,16.370653
247,Total,16.541185
248,Total,19.84152
