OID,param,emissions
7,Total,10.758646
9,Total,27.11061
11,Total,20.022405
12,Total,9.174595
14,Total,24.157533
15,Total,8.950189
17,Total,16.322803
18,Total,0
20,Total,18.245931
21,Total,16.763933
22,Total,0.176008
24,Total,20.899576
25,Total,9.267971
26,Total,0.88519
27,Total,0.099582
28,Total,0.564264
30,Total,12.895425
31,Total,10.544925
32,Total,4.679623
33,Total,2.919663
34,Total,0.91141
35,Total,0.588549
36,Total,0.15485
39,Total,12.525153
40,Total,9.98625
41,Total,10.034373
42,Total,1.918841
43,Total,0.806442
44,Total,1.272391
45,Total,0.229841
46,Total,0.494843
49,Total,37.65821
50,Total,10.127607
51,Total,7.83086
52,Total,2.346574
53,Total,1.912393
54,Total,2.525432
55,Total,1.694585
56,Total,0.291381
57,Total,0.530678
62,Total,48.930641
63,Total,5.98914
64,Total,15.939365
65,Total,1.942633
66,Total,3.211471
67,Total,4.370089
68,Total,1.597032
69,Total,0.207537
70,Total,0.413596
71,Total,16.030441
79,Total,16.768211
80,Total,20.947406
81,Total,7.694455
82,Total,4.114775
83,Total,2.510086
84,Total,3.211471
85,Total,4.370089
86,Total,1.597032
87,Total,0.207537
88,Total,0.413596
89,Total,0.008472
91,Total,0
92,Total,0.712526
94,Total,1.259937
95,Total,0.795159
97,Total,1.449957
106,Total,16.768211
107,Total,20.947406
108,Total,7.694455
109,Total,4.114775
110,Total,2.510086
111,Total,2.46766
112,Total,3.065526
113,Total,1.969199
114,Total,0.409494
115,Total,1.005062
118,Total,0.922853
119,Total,1.274779
120,Total,0.832949
121,Total,0
124,Total,0.186283
125,Total,1.790961
126,Total,2.770158
129,Total,51.087158
130,Total,32.865234
140,Total,7.785631
141,Total,12.335723
142,Total,12.920858
143,Total,9.063586
144,Total,1.148228
145,Total,1.124607
146,Total,2.033762
147,Total,0.410864
148,Total,1.56554
151,Total,0.922853
152,Total,1.274779
153,Total,0.832949
154,Total,0
157,Total,0.186283
158,Total,1.790961
159,Total,2.770158
163,Total,51.087158
164,Total,32.865234
173,Total,92.187271
174,Total,7.780116
175,Total,13.810547
176,Total,3.039649
177,Total,2.371487
178,Total,0.764267
179,Total,0.74348
180,Total,0.600043
181,Total,0.513546
182,Total,0.482123
183,Total,0.188643
184,Total,9.691337
185,Total,1.970881
186,Total,0
187,Total,1.21916
188,Total,0
189,Total,0.821704
191,Total,2.271157
192,Total,1.731614
193,Total,2.19875
197,Total,29.710622
198,Total,40.534305
199,Total,32.085803
200,Total,28.518016
201,Total,23.86555
202,Total,8.366885
209,Total,15.428261
210,Total,7.025437
211,Total,4.938013
212,Total,3.086486
213,Total,1.360434
214,Total,1.896589
215,Total,1.60757
216,Total,1.730926
217,Total,0.887232
218,Total,0.110205
219,Total,10.963039
220,Total,1.756736
221,Total,1.507881
222,Total,0
223,Total,0.990087
224,Total,0.947046
225,Total,0.449669
226,Total,1.887127
227,Total,1.520818
228,Total,2.712705
230,Total,40.419361
231,Total,33.979293
232,Total,30.493152
233,Total,44.328739
234,Total,41.870059
237,Total,32.658466
238,Total,28.793344
239,Total,29.197797
246,Total,10.499803
247,Total,7.701428
248,Total,9.324829
249,Total,7.819197
250,Total,1.671476
251,Total,2.498705
252,Total,1.859568
253,Total,1.20463
254,Total,21.504325
255,Total,3.004164
256,Total,1.362401
257,Total,1.741202
258,Total,1.254573
259,Total,0
260,Total,0.57628
261,Total,1.806332
262,Total,0
263,Total,3.193354
264,Total,6.257818
265,Total,36.509952
266,Total,40.195461
267,Total,49.580646
268,Total,3.929249
269,Total,41.953277
270,Total,26.820035
271,Total,30.87508
272,Total,21.249063
273,Total,33.636119
274,Total,33.241298
275,Total,27.204015
281,Total,9.956885
282,Total,5.325631
283,Total,10.349575
284,Total,5.565659
285,Total,2.014179
286,Total,1.850305
287,Total,2.09994
288,Total,1.570746
289,Total,0.905703
290,Total,1.748592
291,Total,0
292,Total,73.017814
293,Total,6.897163
294,Total,3.874187
295,Total,3.727576
296,Total,3.688924
297,Total,0
298,Total,0.796072
299,Total,1.727244
300,Total,2.710194
301,Total,7.899767
302,Total,0
303,Total,17.116247
304,Total,3.347175
305,Total,49.417072
306,Total,50.19279
307,Total,47.776824
308,Total,36.238548
309,Total,36.340572
311,Total,14.455236
312,Total,38.891933
313,Total,32.989635
315,Total,77.660461
317,Total,74.05632
321,Total,10.081704
322,Total,9.531834
323,Total,10.735402
324,Total,5.630722
325,Total,2.46133
326,Total,3.098876
327,Total,1.485878
328,Total,0.479972
329,Total,0.786086
330,Total,73.34439
331,Total,5.251602
332,Total,5.668803
333,Total,4.992938
334,Total,4.708101
335,Total,3.308779
336,Total,1.935357
337,Total,1.759441
338,Total,2.302093
339,Total,3.188936
340,Total,16.935367
341,Total,20.388359
342,Total,10.817886
343,Total,57.954349
344,Total,25.058408
345,Total,2.84449
346,Total,35.768749
347,Total,34.980033
348,Total,39.9948
349,Total,49.239898
351,Total,36.942253
352,Total,24.384469
356,Total,81.900627
360,Total,11.945061
361,Total,7.417798
362,Total,4.156355
363,Total,3.352991
364,Total,1.711458
365,Total,2.30268
366,Total,0.984614
367,Total,1.04895
368,Total,0.887827
369,Total,85.215408
370,Total,90.320037
371,Total,8.873894
372,Total,10.2246
373,Total,10.774435
374,Total,4.528626
375,Total,4.476111
376,Total,1.432144
377,Total,1.634055
378,Total,0
379,Total,9.149814
380,Total,15.715625
381,Total,28.008783
382,Total,19.393417
383,Total,28.165765
384,Total,24.485885
385,Total,52.866756
386,Total,30.333044
387,Total,28.290079
388,Total,21.160085
389,Total,21.265529
390,Total,21.899791
391,Total,34.670631
392,Total,20.429882
396,Total,67.254875
405,Total,64.187904
406,Total,4.83628
407,Total,5.854984
408,Total,6.190708
409,Total,1.955708
410,Total,1.152877
411,Total,2.36681
412,Total,1.235678
413,Total,0.815249
414,Total,88.695533
415,Total,90.178009
416,Total,8.039355
417,Total,8.256707
418,Total,10.237956
419,Total,4.661896
420,Total,6.555458
421,Total,3.909378
422,Total,6.688
423,Total,10.992769
424,Total,13.870239
425,Total,18.62054
426,Total,21.416496
427,Total,16.967491
428,Total,42.76081
429,Total,24.488002
430,Total,20.258714
431,Total,44.542053
