OID,param,density
4,,51.764266
7,,51.764266
9,,42.09452
11,,41.54774
12,,34.212554
14,,71.042037
15,,48.40829
17,,53.051994
20,,89.929016
21,,83.249588
22,,15.307608
24,,193.898361
25,,81.630348
26,,17.884515
27,,4.799206
28,,6.357366
30,,98.833259
31,,81.560127
32,,50.006343
33,,62.235824
34,,26.307222
35,,8.947763
36,,3.57005
39,,168.814544
40,,83.028167
41,,87.932518
42,,21.780071
43,,52.096721
44,,17.366985
45,,6.758632
46,,4.312016
49,,109.180633
50,,141.067398
51,,85.828353
52,,28.385276
53,,29.501232
54,,19.056018
55,,15.497931
56,,8.03974
57,,3.596213
62,,108.497802
63,,86.359298
64,,68.002731
65,,32.749763
66,,30.867513
67,,15.404577
68,,14.779426
69,,7.355573
70,,2.867901
79,,36.958663
80,,76.414558
81,,95.735382
82,,76.735908
83,,32.402778
84,,22.628498
85,,19.236654
86,,11.690738
87,,5.914251
88,,2.635236
91,,16.005439
93,,20.231203
94,,15.245417
96,,12.270838
107,,88.287078
108,,103.155776
109,,89.500541
110,,50.771358
111,,21.090116
112,,22.287805
113,,7.64342
114,,5.914251
115,,2.635236
117,,18.304101
118,,17.842544
119,,13.613239
123,,13.017583
124,,13.579279
125,,15.340234
128,,139.018508
129,,168.853668
139,,117.802261
140,,96.737815
141,,103.155776
142,,89.500541
143,,50.771358
144,,21.090116
145,,22.287805
146,,7.64342
147,,6.127685
148,,3.27578
149,,22.433036
150,,18.553085
152,,23.076667
154,,21.114524
156,,16.27312
157,,10.993357
158,,23.23693
162,,149.071609
163,,154.298889
164,,102.255332
165,,70.970764
166,,86.232383
167,,86.232383
168,,18.514139
173,,117.802261
174,,96.737815
175,,148.948196
176,,40.389244
177,,26.211854
178,,23.325019
179,,15.836584
180,,8.434402
181,,8.359723
182,,4.547841
183,,22.433036
184,,18.553085
186,,23.076667
188,,21.114524
190,,16.27312
191,,10.993357
192,,23.23693
196,,149.071609
197,,154.298889
198,,102.255332
199,,70.970764
200,,86.232383
201,,86.232383
202,,18.514139
209,,94.928672
210,,122.671615
211,,134.415786
212,,55.200237
213,,24.461671
214,,15.443972
215,,15.545216
216,,15.094345
217,,4.023453
218,,29.216585
219,,20.196311
220,,16.318439
222,,19.724897
223,,18.804084
224,,12.193803
225,,18.619724
226,,14.487576
227,,21.911378
229,,157.17926
230,,189.463333
231,,163.087005
232,,227.918884
233,,181.804138
237,,55.927478
238,,46.106388
239,,42.270347
246,,116.497428
247,,158.381561
248,,137.593643
249,,63.909271
250,,21.726121
251,,19.299888
252,,16.068109
253,,11.308279
254,,16.965528
255,,18.869253
256,,15.644538
257,,22.328065
259,,18.219326
260,,15.161259
262,,18.065822
263,,19.981786
264,,218.198257
265,,153.481933
266,,221.15541
268,,194.72087
269,,168.120101
270,,180.314956
271,,180.314956
272,,26.922151
273,,117.640289
274,,149.050918
275,,103.436645
281,,103.758903
282,,161.331558
283,,125.421234
284,,153.511428
285,,37.927925
286,,19.390798
287,,15.586052
288,,15.724375
289,,6.596108
290,,3.562498
291,,53.623031
292,,28.69486
293,,18.991888
294,,12.866168
295,,20.632825
297,,22.36503
298,,20.363183
299,,16.283754
300,,32.206207
302,,169.558471
303,,160.345916
304,,259.975799
305,,192.819595
306,,208.339248
307,,205.167007
308,,291.019531
311,,63.678638
312,,233.501312
313,,169.687225
315,,62.096256
317,,290.015411
321,,171.829696
322,,169.737533
323,,135.5354
324,,108.498054
325,,35.10741
326,,22.092746
327,,17.694046
328,,12.358399
329,,5.303016
330,,37.257122
331,,47.689987
332,,18.451644
333,,24.471824
334,,23.126653
335,,16.83786
336,,26.08665
337,,20.905614
338,,20.266519
339,,75.364334
340,,80.816268
341,,141.901626
342,,234.300872
343,,213.594711
345,,270.498748
346,,238.533676
347,,324.660614
348,,224.212493
349,,224.212493
351,,140.880432
352,,150.117279
356,,297.35791
360,,125.05249
361,,117.969451
362,,92.629341
363,,55.083187
364,,28.497032
365,,23.082691
366,,16.099834
367,,7.316708
368,,5.505179
369,,129.213668
370,,181.559722
371,,124.72544
372,,41.184349
373,,29.397083
374,,25.275291
375,,19.171688
376,,32.753223
378,,41.676353
379,,115.639274
380,,92.595298
381,,139.805633
382,,190.231109
383,,166.78479
384,,208.152618
385,,175.551589
386,,258.224792
387,,219.427825
388,,194.331161
389,,53.19279
390,,53.19279
391,,137.800735
392,,254.002151
396,,223.627853
405,,30.965024
406,,111.210441
407,,90.568603
408,,102.85292
409,,26.426507
410,,21.542213
411,,7.995778
412,,5.150465
413,,5.356256
414,,177.61174
415,,179.829803
416,,91.956398
417,,91.874168
418,,107.232696
419,,75.238494
420,,35.389617
421,,62.853641
422,,41.92044
423,,87.363334
424,,124.658256
425,,136.961181
426,,112.827133
427,,178.65744
428,,189.117813
429,,185.252502
430,,206.290664
431,,206.817443
432,,177.520919
433,,203.813949
434,,23.852865
435,,23.852865
436,,161.979583
437,,183.407821
445,,107.957916
446,,59.692451
449,,85.816581
450,,129.146194
451,,126.635742
452,,119.424232
453,,60.536472
454,,23.102252
455,,11.900225
456,,5.629285
457,,6.280086
458,,5.496439
459,,224.285491
460,,107.405532
461,,90.619514
462,,123.110519
463,,134.733459
465,,46.680809
466,,89.798408
467,,67.208572
468,,100.701782
469,,122.280883
470,,129.526901
471,,135.396865
472,,158.93869
473,,173.470352
474,,163.83815
475,,189.900787
476,,241.132431
477,,212.840728
478,,131.460342
479,,46.096412
480,,152.676727
481,,152.676727
486,,36.68938
490,,145.220291
493,,124.200927
494,,118.632339
495,,124.624671
496,,149.677459
497,,144.925567
498,,85.344184
499,,32.021266
500,,23.468629
501,,13.999189
502,,17.744544
503,,5.672645
504,,192.292236
506,,215.309143
507,,150.184646
508,,186.899963
510,,149.372192
511,,101.997421
512,,128.030654
513,,144.544692
514,,144.983535
515,,157.057281
516,,122.786743
517,,129.240524
518,,188.661163
519,,126.434974
520,,147.256851
521,,240.444946
522,,211.91188
524,,265.421722
525,,122.436607
526,,122.436607
529,,127.425239
530,,188.844207
531,,186.79692
532,,49.831562
537,,123.696189
538,,92.659751
539,,123.553771
540,,126.089988
541,,100.325073
542,,95.499664
543,,41.925319
545,,17.880874
546,,17.989509
547,,19.506891
548,,10.326135
549,,153.049499
550,,185.217559
551,,221.388961
552,,233.565246
553,,278.226013
554,,133.251098
555,,242.264541
556,,212.460281
557,,221.974884
558,,128.84764
559,,154.242691
560,,212.733535
561,,205.736877
562,,148.658645
563,,102.107078
564,,144.036117
565,,199.520141
566,,124.623092
567,,157.426208
568,,42.203746
569,,246.133148
573,,120.614463
574,,129.626312
575,,85.208106
576,,43.729648
577,,91.643348
581,,69.571052
582,,74.817474
583,,100.972106
584,,118.060287
585,,89.850769
586,,38.918151
587,,38.707126
588,,17.089023
589,,12.680776
590,,14.821575
591,,17.191707
592,,20.191383
593,,241.806259
594,,422.913177
595,,302.757232
596,,338.520294
597,,218.197906
598,,291.507385
599,,247.578887
600,,100.677719
601,,258.321105
602,,129.46495
603,,117.886764
604,,239.215057
605,,181.9393
606,,128.822052
607,,139.929153
608,,147.743652
609,,198.611862
610,,122.7416
613,,69.349464
615,,23.061025
616,,74.136367
617,,74.136367
618,,93.485061
619,,117.419807
620,,88.965202
621,,144.435775
622,,102.467323
623,,66.500587
624,,48.176319
625,,120.701286
626,,64.449104
627,,110.5046
628,,109.504119
629,,64.977859
630,,27.809032
631,,27.50242
632,,11.595621
633,,18.471942
634,,14.932022
635,,17.191707
636,,20.191383
637,,201.210296
638,,321.853942
639,,269.547973
640,,265.227508
641,,185.450714
642,,163.272171
643,,100.152816
644,,93.451667
645,,117.002555
646,,142.547225
647,,107.259765
648,,183.577774
649,,117.48291
650,,166.816543
651,,156.244155
652,,169.215652
653,,199.218734
654,,178.759811
655,,328.005554
656,,160.513504
657,,52.167129
659,,131.015502
660,,138.52388
661,,219.593719
662,,219.593719
663,,191.428665
664,,135.649047
665,,257.314514
666,,276.873321
667,,140.251525
668,,104.597084
669,,121.739608
670,,67.404983
671,,113.338844
672,,95.28276
673,,64.977859
674,,27.809032
675,,27.50242
676,,11.595621
677,,18.471942
678,,14.932022
679,,19.719032
680,,13.790146
681,,241.048721
682,,244.542617
683,,285.988739
684,,263.67633
685,,256.03189
