OID,density
4,104.992561
7,104.992561
9,135.817672
11,116.210212
12,126.063629
14,259.411895
15,135.433074
17,151.564468
20,259.041503
21,207.388259
22,8.622511
24,426.38565
25,118.498443
26,8.499826
27,4.088577
28,3.684004
30,125.598869
31,153.068664
32,112.331062
33,66.797515
34,15.859152
35,8.516573
36,3.950464
39,172.547576
40,118.632537
41,128.215209
42,56.168445
43,23.043218
44,20.06528
45,8.256636
46,4.360206
49,222.535446
50,162.96025
51,108.457977
52,76.536323
53,43.036056
54,34.202587
55,25.873126
56,8.678056
57,3.827369
62,206.10176
63,135.430603
64,149.979705
65,70.760421
66,73.11808
67,68.595344
68,26.079572
69,7.693082
70,3.476859
79,109.759513
80,170.033874
81,145.879028
82,139.594436
83,63.890926
84,60.204853
85,64.490272
86,26.374044
87,9.915295
88,3.154613
91,34.789226
93,33.219779
94,31.786972
96,33.144359
107,144.355911
108,169.319213
109,154.366577
110,91.876266
111,40.659404
112,25.279285
113,21.935577
114,9.915295
115,3.154613
117,63.983997
118,47.592529
119,43.035217
123,29.710985
124,36.586864
125,16.504533
128,339.92398
129,367.373657
139,414.161346
140,213.850067
141,169.319213
142,154.366577
143,91.876266
144,40.659404
145,25.279285
146,21.935577
147,11.539749
148,4.346014
149,10.439435
150,72.085166
152,54.375244
154,56.891319
156,36.006469
157,23.020687
158,16.187726
162,315.556579
163,477.091735
164,266.704528
165,115.557411
166,120.717193
167,120.717193
168,37.225334
173,414.161346
174,213.850067
175,191.598266
176,82.585044
177,62.561717
178,33.626434
179,28.133666
180,17.570083
181,16.931056
182,6.630065
183,10.439435
184,72.085166
186,54.375244
188,56.891319
190,36.006469
191,23.020687
192,16.187726
196,315.556579
197,477.091735
198,266.704528
199,115.557411
200,120.717193
201,120.717193
202,37.225334
209,232.303527
210,160.166152
211,161.464782
212,88.995399
213,38.037582
214,42.407661
215,29.073112
216,32.441711
217,9.304039
218,28.895423
219,88.508514
220,73.071105
222,61.357055
223,47.928596
224,36.780124
225,34.714298
226,28.59616
227,19.994979
229,254.878662
230,242.047393
231,253.848846
232,541.990966
233,409.932769
237,119.699821
238,111.874855
239,141.844177
246,241.845504
247,135.700347
248,154.372253
249,85.636291
250,40.111942
251,58.875316
252,33.093971
253,20.658229
254,82.859115
255,69.664718
256,65.698753
257,77.892639
259,42.624736
260,32.830638
262,43.482509
263,32.845561
264,337.725708
265,220.602966
266,300.287475
268,361.043579
269,331.858154
270,413.912658
271,413.912658
272,65.101913
273,247.256515
274,377.501434
275,262.027557
281,171.574478
282,220.000518
283,107.093048
284,107.769531
285,69.6912
286,43.504791
287,37.53894
288,27.476625
289,13.49737
290,3.176522
291,128.672958
292,244.358612
293,116.186668
294,122.480628
295,96.964576
297,49.151233
298,33.006084
299,45.167545
300,61.247196
302,213.450698
303,194.765121
304,296.18753
305,244.590866
306,384.111328
307,390.446136
308,594.271118
311,167.454574
312,624.446289
313,420.510437
315,236.91658
317,869.114929
321,217.491302
