OID,param,emissions
7,Total,29.330219
9,Total,73.493194
11,Total,63.570793
12,Total,47.574916
14,Total,87.860511
15,Total,45.267009
17,Total,58.130382
20,Total,72.552803
21,Total,82.933494
22,Total,1.643548
24,Total,169.037704
25,Total,44.357688
26,Total,1.688052
27,Total,0.820594
28,Total,0.788813
30,Total,42.460521
31,Total,38.23767
32,Total,24.380498
33,Total,10.808466
34,Total,2.945078
35,Total,0
36,Total,1.296935
39,Total,63.974758
40,Total,36.443435
41,Total,28.894973
42,Total,10.818793
43,Total,8.476648
44,Total,5.26807
45,Total,0.999592
46,Total,1.195633
49,Total,87.685928
50,Total,47.922924
51,Total,27.497041
52,Total,14.468913
53,Total,9.062618
54,Total,10.116099
55,Total,7.668448
56,Total,2.09925
57,Total,0.737031
62,Total,80.154945
63,Total,27.849323
64,Total,33.752769
65,Total,22.40994
66,Total,14.611973
67,Total,19.378267
68,Total,6.942378
69,Total,2.104044
70,Total,0.558578
71,Total,7.182838
79,Total,17.128292
80,Total,39.297046
81,Total,36.036788
82,Total,29.124059
83,Total,14.670752
84,Total,14.611973
85,Total,19.378267
86,Total,6.942378
87,Total,2.104044
88,Total,0.558578
92,Total,31.035171
94,Total,19.326251
95,Total,23.939838
97,Total,27.452733
106,Total,17.128292
107,Total,39.297046
108,Total,36.036788
109,Total,29.124059
110,Total,14.670752
111,Total,11.650702
112,Total,18.694988
113,Total,7.529083
114,Total,2.578623
115,Total,0.453638
118,Total,28.429672
119,Total,24.977582
120,Total,7.696286
125,Total,27.5969
126,Total,10.471541
129,Total,131.101196
130,Total,142.31459
140,Total,37.895709
141,Total,45.092704
142,Total,46.802726
143,Total,33.637672
144,Total,7.951563
145,Total,4.235072
146,Total,4.815187
147,Total,2.863175
148,Total,0.663421
151,Total,28.429672
152,Total,24.977582
153,Total,7.696286
158,Total,27.5969
159,Total,10.471541
163,Total,131.101196
164,Total,142.31459
173,Total,262.219329
174,Total,56.520534
175,Total,48.50077
176,Total,17.656105
177,Total,11.827363
178,Total,6.221442
179,Total,6.798428
180,Total,3.380363
181,Total,3.326826
182,Total,1.693023
184,Total,5.466656
185,Total,37.604934
187,Total,20.212884
189,Total,23.821096
191,Total,18.333877
192,Total,18.94425
193,Total,6.470709
197,Total,111.19503
198,Total,175.611679
199,Total,70.949081
200,Total,46.399639
201,Total,45.623744
202,Total,9.432845
209,Total,60.837936
210,Total,43.555828
211,Total,36.268306
212,Total,18.608491
213,Total,6.400225
214,Total,11.162288
215,Total,6.981678
216,Total,6.969964
217,Total,1.349528
219,Total,2.319979
220,Total,30.329835
221,Total,32.845626
223,Total,27.321403
224,Total,22.690307
225,Total,35.576972
226,Total,12.105375
227,Total,15.520684
228,Total,7.08392
230,Total,87.513275
231,Total,81.725677
232,Total,75.517967
233,Total,217.154998
234,Total,170.213363
237,Total,50.649723
238,Total,82.551887
239,Total,81.841758
246,Total,62.354415
247,Total,24.511835
248,Total,39.945781
249,Total,30.451539
250,Total,9.233677
251,Total,16.124727
252,Total,9.117633
253,Total,4.944078
254,Total,2.26282
255,Total,33.868473
256,Total,28.284776
257,Total,36.037399
258,Total,27.613994
260,Total,24.597412
261,Total,16.947456
263,Total,14.141488
264,Total,14.107114
265,Total,104.76435
266,Total,67.634597
267,Total,105.666511
269,Total,137.003356
270,Total,129.692276
271,Total,143.262191
272,Total,92.367729
273,Total,99.246665
274,Total,86.385391
275,Total,75.860412
281,Total,96.963394
282,Total,29.606678
283,Total,28.474641
284,Total,27.396848
285,Total,17.147302
286,Total,10.26265
287,Total,10.415197
288,Total,7.117783
289,Total,3.622526
290,Total,0.325078
292,Total,11.744221
293,Total,56.640373
294,Total,38.251716
295,Total,30.842798
296,Total,28.975549
298,Total,24.576713
299,Total,9.744853
300,Total,14.702742
301,Total,20.936855
303,Total,48.585071
305,Total,85.615463
306,Total,92.404464
307,Total,134.344467
308,Total,150.72406
309,Total,166.363067
311,Total,109.592994
312,Total,135.75917
313,Total,114.754241
315,Total,342.91925
317,Total,288.814636
321,Total,76.856895
322,Total,25.697307
323,Total,32.127494
324,Total,31.64475
325,Total,23.767576
326,Total,11.547359
327,Total,8.286928
328,Total,3.37597
329,Total,2.934508
330,Total,29.523763
331,Total,82.162078
332,Total,158.730209
333,Total,85.062355
334,Total,50.563114
335,Total,36.779182
336,Total,30.78811
337,Total,28.568433
338,Total,17.351436
339,Total,15.982876
340,Total,26.600206
341,Total,30.731027
342,Total,51.506031
343,Total,110.553688
344,Total,57.528789
346,Total,81.707893
347,Total,63.348815
