OID,param,emissions
9,Total,0.664922
11,Total,0.303481
14,Total,0.674478
17,Total,0.213182
20,Total,0.283546
24,Total,1.267806
30,Total,0.547525
31,Total,0.500787
39,Total,2.561575
40,Total,0.681872
41,Total,0.511736
49,Total,1.12341
50,Total,1.637537
51,Total,0.274135
62,Total,0.795219
63,Total,1.533749
64,Total,0.382226
71,Total,0.268659
79,Total,1.349344
80,Total,1.384399
81,Total,1.385206
82,Total,0.431699
92,Total,0.813386
94,Total,0.32916
95,Total,0.432784
106,Total,1.349344
107,Total,1.384399
108,Total,1.385206
109,Total,0.431699
118,Total,0.674515
119,Total,0.918384
120,Total,0.413225
124,Total,0
129,Total,0.998386
130,Total,0.98828
141,Total,1.065847
142,Total,0.551329
143,Total,0.230828
151,Total,0.674515
152,Total,0.918384
153,Total,0.413225
157,Total,0
163,Total,0.998386
164,Total,0.98828
173,Total,1.923552
174,Total,1.842104
175,Total,0.494926
176,Total,0.097334
184,Total,0.276503
185,Total,1.039114
187,Total,0.694621
189,Total,0.462835
197,Total,1.675091
198,Total,1.661961
199,Total,1.364769
200,Total,1.336814
201,Total,1.018611
209,Total,1.004057
210,Total,0.449664
211,Total,1.025578
219,Total,0.228769
220,Total,0.869816
221,Total,0.888849
223,Total,0.548078
224,Total,0.501221
225,Total,0.537685
230,Total,0.979503
231,Total,0.89465
232,Total,1.237644
233,Total,1.701072
234,Total,1.525416
237,Total,1.367615
246,Total,0.67213
247,Total,1.09357
248,Total,1.176397
249,Total,0.272642
254,Total,0.243212
255,Total,0.801845
256,Total,0.845867
257,Total,0.74297
258,Total,0.553904
260,Total,0.626129
265,Total,0.605077
266,Total,0.778257
267,Total,1.00432
269,Total,0.559907
270,Total,1.585231
271,Total,1.26892
274,Total,1.800919
275,Total,1.51835
281,Total,1.69789
282,Total,0.417825
283,Total,1.518596
284,Total,0.517517
285,Total,0.143321
292,Total,0.710754
293,Total,1.289996
294,Total,0.739418
295,Total,0.998277
296,Total,0.406588
298,Total,0.487797
303,Total,0.782596
304,Total,0
305,Total,0.511293
306,Total,1.134745
307,Total,0.67249
308,Total,0.998152
309,Total,1.794928
312,Total,1.543637
313,Total,1.638645
317,Total,2.292317
321,Total,1.614651
322,Total,1.804249
323,Total,0.979709
324,Total,0.233528
325,Total,0.123069
326,Total,0.100447
330,Total,2.108625
331,Total,2.630282
332,Total,3.129949
333,Total,1.938322
334,Total,1.260047
335,Total,0.365131
336,Total,0.713791
337,Total,0.26388
342,Total,0.871442
343,Total,1.017735
344,Total,0.957886
346,Total,0.789473
348,Total,1.438678
349,Total,2.006087
351,Total,1.650231
352,Total,1.197685
356,Total,2.926989
360,Total,1.540745
361,Total,1.351825
362,Total,0.328776
363,Total,0.172074
369,Total,1.390162
