OID,param,emissions
7,Total,164.933593
9,Total,215.72229
11,Total,268.066772
12,Total,231.123992
14,Total,242.726089
15,Total,150.457107
17,Total,185.986877
18,Total,0
20,Total,221.33966
21,Total,265.50946
22,Total,34.208148
24,Total,564.164245
25,Total,404.440429
26,Total,34.426647
27,Total,12.045106
28,Total,19.10168
30,Total,251.376708
31,Total,221.713302
32,Total,101.672355
33,Total,145.07341
34,Total,34.801872
35,Total,7.297563
36,Total,14.221552
39,Total,388.665527
40,Total,215.626281
41,Total,166.250122
42,Total,36.402107
43,Total,118.93206
44,Total,34.94252
45,Total,7.620243
46,Total,8.638809
49,Total,365.592224
50,Total,299.691802
51,Total,130.059387
52,Total,59.621398
53,Total,43.714668
54,Total,46.982929
55,Total,56.265083
56,Total,12.393572
57,Total,10.653641
62,Total,358.093627
63,Total,157.551605
64,Total,139.931457
65,Total,104.167572
66,Total,67.090301
67,Total,62.408695
68,Total,33.531311
69,Total,11.835412
70,Total,9.9754
71,Total,124.396408
79,Total,94.38449
80,Total,187.126571
81,Total,185.755233
82,Total,116.535186
83,Total,77.158882
84,Total,67.090301
85,Total,62.408695
86,Total,33.531311
87,Total,11.835412
88,Total,9.9754
92,Total,62.05117
94,Total,99.769119
95,Total,78.583694
97,Total,95.121879
106,Total,94.38449
107,Total,187.126571
108,Total,185.755233
109,Total,116.535186
110,Total,77.158882
111,Total,49.984619
112,Total,58.771934
113,Total,34.644565
114,Total,15.570096
115,Total,9.301162
118,Total,94.909317
119,Total,98.846817
120,Total,59.069328
121,Total,0
124,Total,10.58693
125,Total,92.769546
126,Total,107.258689
129,Total,446.562957
130,Total,519.35968
140,Total,94.73281
141,Total,192.538177
142,Total,242.891708
143,Total,203.54454
144,Total,32.224975
145,Total,30.008316
146,Total,27.909612
147,Total,16.998498
148,Total,12.557077
151,Total,94.909317
152,Total,98.846817
153,Total,59.069328
154,Total,0
157,Total,10.58693
158,Total,92.769546
159,Total,107.258689
163,Total,446.562957
164,Total,519.35968
173,Total,672.076354
174,Total,319.174682
175,Total,272.356719
176,Total,87.791587
177,Total,61.4365
178,Total,31.384738
179,Total,29.543443
180,Total,22.820976
181,Total,19.813518
182,Total,9.535226
184,Total,98.415428
185,Total,111.995605
186,Total,0
187,Total,97.271865
188,Total,0
189,Total,110.803054
191,Total,96.926742
192,Total,82.600372
193,Total,78.542503
197,Total,488.564361
198,Total,601.371215
199,Total,326.704925
200,Total,165.036163
201,Total,246.183059
202,Total,118.691505
209,Total,248.3488
210,Total,199.305709
211,Total,199.424011
212,Total,58.762882
213,Total,41.598731
214,Total,46.378292
215,Total,45.091236
216,Total,44.705718
217,Total,14.304306
218,Total,0.284425
219,Total,98.935409
220,Total,104.999031
221,Total,106.411972
222,Total,0
223,Total,102.811973
224,Total,94.578033
225,Total,88.058769
226,Total,88.003059
227,Total,79.570159
228,Total,88.30677
230,Total,388.735778
231,Total,374.86502
232,Total,372.072631
233,Total,757.585571
234,Total,592.386108
237,Total,158.549865
238,Total,223.538711
239,Total,191.268676
246,Total,274.32312
247,Total,296.434478
248,Total,257.064086
249,Total,136.887847
250,Total,44.922264
251,Total,64.543968
252,Total,48.438259
253,Total,27.976219
254,Total,137.352981
255,Total,107.831817
256,Total,97.792243
257,Total,71.184654
258,Total,108.719268
259,Total,0
260,Total,93.997779
261,Total,94.281669
262,Total,0
263,Total,73.797256
264,Total,84.37783
265,Total,528.200805
266,Total,391.601287
267,Total,649.995361
268,Total,3.929249
269,Total,561.396179
270,Total,463.355072
271,Total,461.488494
272,Total,220.903274
273,Total,260.901947
274,Total,396.50238
275,Total,265.253509
281,Total,233.323547
282,Total,282.61557
283,Total,197.16603
284,Total,246.249389
285,Total,85.975692
286,Total,50.973159
287,Total,47.934581
288,Total,38.908729
289,Total,11.732524
290,Total,18.034738
291,Total,0
292,Total,213.30577
293,Total,126.453506
294,Total,109.390953
295,Total,67.610671
296,Total,85.0429
297,Total,0
298,Total,107.12355
299,Total,114.887962
300,Total,80.612838
301,Total,85.969726
302,Total,0
303,Total,295.461303
304,Total,50.874504
305,Total,580.877624
306,Total,487.678192
307,Total,595.940673
308,Total,614.937377
309,Total,784.43872
311,Total,220.594711
312,Total,554.33319
313,Total,495.688568
315,Total,911.143066
317,Total,833.233642
321,Total,385.774322
322,Total,204.504409
323,Total,267.194061
324,Total,146.46759
325,Total,114.065528
326,Total,75.569084
327,Total,47.77275
328,Total,17.999538
329,Total,20.740335
330,Total,292.314636
331,Total,130.821533
332,Total,224.890655
333,Total,125.890151
334,Total,78.447708
335,Total,118.219055
336,Total,68.02745
337,Total,117.781829
338,Total,86.831146
339,Total,79.124046
340,Total,155.189407
341,Total,178.622207
342,Total,305.653137
343,Total,620.450439
344,Total,360.684661
345,Total,2.84449
346,Total,559.376037
347,Total,419.793029
348,Total,743.250244
349,Total,654.8385
351,Total,425.044097
352,Total,323.708801
356,Total,1007.199829
360,Total,192.830947
361,Total,174.480484
362,Total,146.626419
363,Total,149.31369
364,Total,76.648963
365,Total,62.945034
366,Total,34.346313
367,Total,14.706561
368,Total,10.838079
369,Total,244.81105
370,Total,303.486297
371,Total,415.691711
372,Total,323.450866
373,Total,209.065597
374,Total,134.899124
375,Total,94.384544
376,Total,105.294677
377,Total,137.350326
378,Total,0
379,Total,95.170005
380,Total,271.669281
381,Total,230.437026
382,Total,259.372009
383,Total,339.438629
384,Total,311.435333
385,Total,565.714477
386,Total,489.593933
387,Total,521.716918
388,Total,480.954437
389,Total,424.948303
390,Total,94.817092
391,Total,373.494628
392,Total,283.848785
396,Total,690.491271
405,Total,127.459129
406,Total,171.339309
407,Total,152.313919
408,Total,187.488586
409,Total,50.878246
410,Total,34.330318
411,Total,26.768297
412,Total,15.964814
413,Total,11.160253
414,Total,277.728515
415,Total,647.1156
416,Total,436.282928
417,Total,239.681869
418,Total,219.179885
419,Total,359.431182
420,Total,137.458404
421,Total,107.582679
422,Total,221.376464
423,Total,178.403594
424,Total,301.119598
425,Total,413.313323
426,Total,325.28189
427,Total,225.797454
428,Total,338.380523
429,Total,336.771667
430,Total,403.151367
431,Total,571.961791
432,Total,494.217559
433,Total,466.960845
434,Total,396.507629
435,Total,77.636619
436,Total,368.436981
437,Total,345.053039
445,Total,234.486129
446,Total,190.519332
449,Total,169.436859
450,Total,209.477066
451,Total,267.632507
452,Total,249.210403
453,Total,199.490402
454,Total,57.627258
455,Total,31.312351
456,Total,23.313003
457,Total,15.426225
458,Total,17.898448
459,Total,102.798683
460,Total,652.617004
461,Total,256.403717
462,Total,247.753189
463,Total,447.520538
464,Total,515.039672
466,Total,111.552452
467,Total,251.875015
468,Total,160.805053
469,Total,265.78833
470,Total,347.819305
471,Total,279.244506
472,Total,271.731262
473,Total,264.915344
474,Total,312.737457
475,Total,268.160583
476,Total,380.392822
477,Total,480.453308
478,Total,82.941963
479,Total,299.312835
480,Total,73.336105
481,Total,307.800567
483,Total,733.38861
485,Total,183.398681
486,Total,161.861175
487,Total,0
490,Total,327.341033
493,Total,299.799621
494,Total,195.214691
495,Total,241.539505
496,Total,246.989746
497,Total,218.210769
498,Total,178.835784
499,Total,115.818023
500,Total,44.100486
501,Total,27.091369
502,Total,40.208972
503,Total,19.00258
504,Total,557.172363
505,Total,663.702697
507,Total,498.925415
508,Total,321.992309
509,Total,343.676116
511,Total,438.963256
512,Total,117.163627
513,Total,212.421951
514,Total,284.8815
515,Total,268.505493
516,Total,288.831939
517,Total,224.945755
518,Total,239.837478
519,Total,318.789611
520,Total,276.510253
521,Total,291.202789
522,Total,436.377868
523,Total,371.68103
525,Total,683.585998
526,Total,368.812286
529,Total,247.015441
530,Total,453.704406
531,Total,341.993927
532,Total,144.050399
537,Total,289.667816
538,Total,152.858123
539,Total,174.22853
540,Total,258.886291
541,Total,186.660064
542,Total,193.837249
543,Total,71.201385
545,Total,41.218849
546,Total,77.223159
547,Total,41.331821
548,Total,21.10403
549,Total,549.133728
550,Total,757.678161
551,Total,552.606994
552,Total,452.282806
553,Total,661.627197
554,Total,440.412017
555,Total,173.027465
556,Total,7.08362
557,Total,489.016082
558,Total,292.547851
559,Total,245.572509
560,Total,303.15689
561,Total,339.74591
562,Total,310.635192
563,Total,257.209014
564,Total,178.094329
565,Total,249.286315
566,Total,364.860015
567,Total,255.918182
568,Total,291.775421
569,Total,11.296823
570,Total,605.7005
573,Total,318.570587
574,Total,293.225067
575,Total,181.134887
576,Total,214.696853
577,Total,227.477005
581,Total,142.266021
582,Total,140.606857
583,Total,179.314804
584,Total,183.144073
585,Total,181.703659
586,Total,57.008388
587,Total,121.727302
588,Total,71.201385
590,Total,41.218849
591,Total,77.223159
592,Total,41.331821
593,Total,521.193786
594,Total,1059.127563
595,Total,831.427001
596,Total,670.723632
597,Total,790.77716
598,Total,450.255279
599,Total,639.999023
600,Total,588.851562
601,Total,257.241821
602,Total,517.844421
603,Total,276.580566
604,Total,381.012664
605,Total,380.799041
606,Total,299.394622
607,Total,253.380981
608,Total,287.356628
609,Total,281.15924
610,Total,377.094207
611,Total,275.561126
612,Total,9.138906
613,Total,4.035433
614,Total,215.608169
