OID,param,emissions
7,Meat,17.252614
9,Meat,16.620391
11,Meat,21.377046
12,Meat,10.365556
14,Meat,18.583408
15,Meat,12.058535
17,Meat,23.056497
20,Meat,20.742206
21,Meat,14.882569
22,Meat,2.769987
24,Meat,26.53301
25,Meat,9.030179
26,Meat,2.629319
27,Meat,1.826216
30,Meat,27.606338
31,Meat,23.563829
32,Meat,1.353972
33,Meat,7.045922
34,Meat,3.605927
35,Meat,2.468655
36,Meat,1.975707
39,Meat,24.326965
40,Meat,26.70881
41,Meat,25.439395
42,Meat,0.757511
43,Meat,6.903363
44,Meat,0.81816
49,Meat,20.163225
50,Meat,16.623458
51,Meat,24.909616
52,Meat,1.049679
55,Meat,1.528529
62,Meat,19.249927
63,Meat,9.4626
64,Meat,24.622121
65,Meat,0.869017
66,Meat,1.594031
67,Meat,0.763209
71,Meat,2.480756
79,Meat,0.02734
80,Meat,9.738058
81,Meat,9.484462
82,Meat,24.249193
83,Meat,1.391067
84,Meat,1.594031
85,Meat,0.763209
92,Meat,3.950873
94,Meat,8.280934
95,Meat,4.515611
97,Meat,14.374469
106,Meat,0.02734
107,Meat,9.738058
108,Meat,9.484462
109,Meat,24.249193
110,Meat,1.391067
111,Meat,1.41704
112,Meat,0.962782
118,Meat,5.220616
119,Meat,5.292228
120,Meat,3.67873
124,Meat,8.296822
125,Meat,14.8555
126,Meat,15.787677
129,Meat,62.891807
130,Meat,63.068019
141,Meat,20.392686
142,Meat,23.871614
143,Meat,16.71721
146,Meat,1.102927
147,Meat,0.844521
151,Meat,5.220616
152,Meat,5.292228
153,Meat,3.67873
157,Meat,8.296822
158,Meat,14.8555
159,Meat,15.787677
163,Meat,62.891807
164,Meat,63.068019
173,Meat,0.026481
174,Meat,17.665952
175,Meat,24.365964
176,Meat,1.224496
177,Meat,1.456229
179,Meat,0.964388
180,Meat,1.039942
181,Meat,0.934444
184,Meat,2.113372
185,Meat,4.395358
187,Meat,4.918808
189,Meat,9.725894
191,Meat,19.398551
192,Meat,15.272046
193,Meat,17.542697
197,Meat,65.766448
198,Meat,57.802406
199,Meat,56.944442
200,Meat,0.129818
201,Meat,56.130004
209,Meat,18.85231
210,Meat,8.567584
211,Meat,20.55727
