OID,param,emissions
7,Total,83.247566
9,Total,93.398719
11,Total,157.070495
12,Total,113.638618
14,Total,106.491363
15,Total,65.599861
17,Total,82.111663
20,Total,103.979682
21,Total,146.956771
22,Total,27.239629
24,Total,339.360992
25,Total,322.501251
26,Total,25.732086
27,Total,8.79796
28,Total,15.457432
30,Total,160.500244
31,Total,142.576919
32,Total,70.848037
33,Total,118.409339
34,Total,26.355617
35,Total,0
36,Total,10.243409
39,Total,279.006561
40,Total,134.678833
41,Total,94.578346
42,Total,22.685419
43,Total,96.592849
44,Total,27.346458
45,Total,5.466444
46,Total,6.159351
49,Total,213.599426
50,Total,218.960937
51,Total,62.900905
52,Total,41.453796
53,Total,31.93445
54,Total,33.468669
55,Total,44.927623
56,Total,9.150427
57,Total,7.131953
62,Total,203.833389
63,Total,110.197944
64,Total,58.663005
65,Total,78.647506
66,Total,47.163864
67,Total,37.635017
68,Total,24.220863
69,Total,8.766088
70,Total,6.946183
71,Total,68.532592
79,Total,59.077266
80,Total,113.16716
81,Total,128.624832
82,Total,52.143833
83,Total,58.142097
84,Total,47.163864
85,Total,37.635017
86,Total,24.220863
87,Total,8.766088
88,Total,6.946183
92,Total,24.498723
94,Total,68.417167
95,Total,47.724208
97,Total,48.08353
106,Total,59.077266
107,Total,113.16716
108,Total,128.624832
109,Total,52.143833
110,Total,58.142097
111,Total,34.01443
112,Total,35.716407
113,Total,24.327163
114,Total,11.677221
115,Total,5.440498
118,Total,58.299678
119,Total,65.010322
120,Total,45.478637
125,Total,44.632694
126,Total,74.179672
129,Total,183.969573
130,Total,263.458892
140,Total,49.051475
141,Total,108.239959
142,Total,152.374008
143,Total,139.415786
144,Total,22.270111
145,Total,23.74088
146,Total,19.610153
147,Total,12.615912
148,Total,7.013286
151,Total,58.299678
152,Total,65.010322
153,Total,45.478637
158,Total,44.632694
159,Total,74.179672
163,Total,183.969573
164,Total,263.458892
173,Total,315.686767
174,Total,230.67543
175,Total,178.681701
176,Total,65.445907
177,Total,45.337871
178,Total,23.555562
179,Total,20.734216
180,Total,17.464765
181,Total,14.752095
182,Total,6.722462
184,Total,55.348541
185,Total,65.843734
187,Total,68.94667
189,Total,73.449028
191,Total,51.990005
192,Total,42.675605
193,Total,47.834823
197,Total,263.005767
198,Total,310.525634
199,Total,150.2677
200,Total,88.490287
201,Total,105.034538
202,Total,100.891777
209,Total,147.209228
210,Total,137.421508
211,Total,131.154327
212,Total,34.772449
213,Total,32.804145
214,Total,32.289394
215,Total,35.138145
216,Total,34.608383
217,Total,9.294033
219,Total,64.324691
220,Total,66.591789
221,Total,65.699157
223,Total,66.744567
224,Total,64.050392
225,Total,48.334049
226,Total,49.344821
227,Total,45.266178
228,Total,59.31377
230,Total,211.79866
231,Total,209.106369
232,Total,185.079864
233,Total,409.235015
234,Total,293.777435
237,Total,73.648773
238,Total,112.193473
239,Total,80.229118
246,Total,184.426132
247,Total,246.586456
248,Total,186.775543
249,Total,85.064529
250,Total,32.880233
251,Total,44.811119
252,Total,36.006175
253,Total,20.861745
254,Total,88.769203
255,Total,65.003799
256,Total,62.387226
257,Total,28.395881
258,Total,73.051643
260,Total,61.821033
261,Total,52.78934
263,Total,40.7388
264,Total,53.87154
265,Total,338.092498
266,Total,238.859817
267,Total,452.691711
269,Total,334.58493
270,Total,227.606353
271,Total,210.869827
272,Total,107.286483
273,Total,128.019165
274,Total,201.603317
275,Total,103.802742
281,Total,111.872367
282,Total,225.513702
283,Total,142.653671
284,Total,191.164123
285,Total,65.420135
286,Total,37.667999
287,Total,34.295124
288,Total,29.043241
289,Total,6.627827
290,Total,6.804657
292,Total,110.451431
293,Total,57.312549
294,Total,62.569374
295,Total,29.440286
